month,paper_count,mention_count,share_pct,rolling_12m_pct,series_key,series_label,series_kind
1976-01-01,88,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-02-01,65,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-03-01,52,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-04-01,36,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-05-01,65,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-06-01,82,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-07-01,29,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-08-01,44,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-09-01,52,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-10-01,47,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-11-01,36,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1976-12-01,82,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-01-01,85,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-02-01,57,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-03-01,57,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-04-01,29,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-05-01,59,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-06-01,85,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-07-01,16,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-08-01,48,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-09-01,90,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-10-01,43,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-11-01,34,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1977-12-01,91,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-01-01,79,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-02-01,70,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-03-01,59,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-04-01,34,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-05-01,51,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-06-01,100,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-07-01,6,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-08-01,44,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1978-09-01,58,2,3.4482758620689653,0.28735632183908044,core_top_50,core 50,journal_cutoff
1978-10-01,41,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1978-11-01,32,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1978-12-01,58,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-01-01,137,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-02-01,55,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-03-01,71,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-04-01,48,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-05-01,61,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-06-01,78,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-07-01,30,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-08-01,47,0,0.0,0.28735632183908044,core_top_50,core 50,journal_cutoff
1979-09-01,66,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1979-10-01,53,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1979-11-01,35,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1979-12-01,64,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1980-01-01,124,0,0.0,0.0,core_top_50,core 50,journal_cutoff
1980-02-01,55,0,0.0,0.0,core_top_50,core 50,journal_cutoff
