month,paper_count,mention_count,share_pct,rolling_12m_pct,series_key,series_label,series_kind
1976-01-01,13,0,0.0,0.0,labour,Labour,field
1976-02-01,3,0,0.0,0.0,labour,Labour,field
1976-03-01,1,0,0.0,0.0,labour,Labour,field
1976-04-01,4,0,0.0,0.0,labour,Labour,field
1976-05-01,1,0,0.0,0.0,labour,Labour,field
1976-06-01,2,0,0.0,0.0,labour,Labour,field
1976-07-01,0,0,0.0,0.0,labour,Labour,field
1976-08-01,3,0,0.0,0.0,labour,Labour,field
1976-09-01,2,0,0.0,0.0,labour,Labour,field
1976-10-01,2,0,0.0,0.0,labour,Labour,field
1976-11-01,1,0,0.0,0.0,labour,Labour,field
1976-12-01,2,0,0.0,0.0,labour,Labour,field
1977-01-01,12,0,0.0,0.0,labour,Labour,field
1977-02-01,3,0,0.0,0.0,labour,Labour,field
1977-03-01,1,0,0.0,0.0,labour,Labour,field
1977-04-01,3,0,0.0,0.0,labour,Labour,field
1977-05-01,0,0,0.0,0.0,labour,Labour,field
1977-06-01,1,0,0.0,0.0,labour,Labour,field
1977-07-01,9,0,0.0,0.0,labour,Labour,field
1977-08-01,1,0,0.0,0.0,labour,Labour,field
1977-09-01,0,0,0.0,0.0,labour,Labour,field
1977-10-01,1,0,0.0,0.0,labour,Labour,field
1977-11-01,1,0,0.0,0.0,labour,Labour,field
1977-12-01,1,0,0.0,0.0,labour,Labour,field
1978-01-01,13,0,0.0,0.0,labour,Labour,field
1978-02-01,4,0,0.0,0.0,labour,Labour,field
1978-03-01,1,0,0.0,0.0,labour,Labour,field
1978-04-01,4,0,0.0,0.0,labour,Labour,field
1978-05-01,1,0,0.0,0.0,labour,Labour,field
1978-06-01,1,0,0.0,0.0,labour,Labour,field
1978-07-01,1,0,0.0,0.0,labour,Labour,field
1978-08-01,6,0,0.0,0.0,labour,Labour,field
1978-09-01,1,0,0.0,0.0,labour,Labour,field
1978-10-01,2,0,0.0,0.0,labour,Labour,field
1978-11-01,3,0,0.0,0.0,labour,Labour,field
1978-12-01,3,0,0.0,0.0,labour,Labour,field
1979-01-01,12,0,0.0,0.0,labour,Labour,field
1979-02-01,1,0,0.0,0.0,labour,Labour,field
1979-03-01,2,0,0.0,0.0,labour,Labour,field
1979-04-01,3,0,0.0,0.0,labour,Labour,field
1979-05-01,3,0,0.0,0.0,labour,Labour,field
1979-06-01,0,0,0.0,0.0,labour,Labour,field
1979-07-01,3,0,0.0,0.0,labour,Labour,field
1979-08-01,2,0,0.0,0.0,labour,Labour,field
1979-09-01,0,0,0.0,0.0,labour,Labour,field
1979-10-01,8,0,0.0,0.0,labour,Labour,field
1979-11-01,3,0,0.0,0.0,labour,Labour,field
1979-12-01,5,0,0.0,0.0,labour,Labour,field
1980-01-01,13,0,0.0,0.0,labour,Labour,field
1980-02-01,3,0,0.0,0.0,labour,Labour,field
1980-03-01,6,0,0.0,0.0,labour,Labour,field
1980-04-01,2,0,0.0,0.0,labour,Labour,field
1980-05-01,0,0,0.0,0.0,labour,Labour,field
1980-06-01,2,0,0.0,0.0,labour,Labour,field
1980-07-01,2,0,0.0,0.0,labour,Labour,field
1980-08-01,8,0,0.0,0.0,labour,Labour,field
1980-09-01,0,0,0.0,0.0,labour,Labour,field
1980-10-01,2,0,0.0,0.0,labour,Labour,field
1980-11-01,2,0,0.0,0.0,labour,Labour,field
1980-12-01,3,0,0.0,0.0,labour,Labour,field
1981-01-01,15,0,0.0,0.0,labour,Labour,field
1981-02-01,3,0,0.0,0.0,labour,Labour,field
1981-03-01,2,0,0.0,0.0,labour,Labour,field
1981-04-01,4,0,0.0,0.0,labour,Labour,field
1981-05-01,3,0,0.0,0.0,labour,Labour,field
1981-06-01,5,0,0.0,0.0,labour,Labour,field
1981-07-01,4,0,0.0,0.0,labour,Labour,field
1981-08-01,4,0,0.0,0.0,labour,Labour,field
1981-09-01,0,0,0.0,0.0,labour,Labour,field
1981-10-01,0,0,0.0,0.0,labour,Labour,field
1981-11-01,4,0,0.0,0.0,labour,Labour,field
1981-12-01,4,0,0.0,0.0,labour,Labour,field
1982-01-01,13,0,0.0,0.0,labour,Labour,field
1982-02-01,4,0,0.0,0.0,labour,Labour,field
1982-03-01,7,0,0.0,0.0,labour,Labour,field
1982-04-01,3,0,0.0,0.0,labour,Labour,field
1982-05-01,3,0,0.0,0.0,labour,Labour,field
1982-06-01,6,0,0.0,0.0,labour,Labour,field
1982-07-01,4,0,0.0,0.0,labour,Labour,field
1982-08-01,1,0,0.0,0.0,labour,Labour,field
1982-09-01,2,0,0.0,0.0,labour,Labour,field
1982-10-01,4,0,0.0,0.0,labour,Labour,field
1982-11-01,5,0,0.0,0.0,labour,Labour,field
1982-12-01,1,0,0.0,0.0,labour,Labour,field
1983-01-01,24,0,0.0,0.0,labour,Labour,field
1983-02-01,3,0,0.0,0.0,labour,Labour,field
1983-03-01,1,0,0.0,0.0,labour,Labour,field
1983-04-01,3,0,0.0,0.0,labour,Labour,field
1983-05-01,2,0,0.0,0.0,labour,Labour,field
1983-06-01,3,0,0.0,0.0,labour,Labour,field
1983-07-01,3,0,0.0,0.0,labour,Labour,field
1983-08-01,6,0,0.0,0.0,labour,Labour,field
1983-09-01,2,0,0.0,0.0,labour,Labour,field
1983-10-01,4,0,0.0,0.0,labour,Labour,field
1983-11-01,7,0,0.0,0.0,labour,Labour,field
1983-12-01,4,0,0.0,0.0,labour,Labour,field
1984-01-01,26,0,0.0,0.0,labour,Labour,field
1984-02-01,3,0,0.0,0.0,labour,Labour,field
1984-03-01,3,0,0.0,0.0,labour,Labour,field
1984-04-01,5,0,0.0,0.0,labour,Labour,field
1984-05-01,2,0,0.0,0.0,labour,Labour,field
1984-06-01,2,0,0.0,0.0,labour,Labour,field
1984-07-01,2,0,0.0,0.0,labour,Labour,field
1984-08-01,1,0,0.0,0.0,labour,Labour,field
1984-09-01,2,0,0.0,0.0,labour,Labour,field
1984-10-01,3,0,0.0,0.0,labour,Labour,field
1984-11-01,4,0,0.0,0.0,labour,Labour,field
1984-12-01,3,0,0.0,0.0,labour,Labour,field
1985-01-01,24,0,0.0,0.0,labour,Labour,field
1985-02-01,4,0,0.0,0.0,labour,Labour,field
1985-03-01,2,0,0.0,0.0,labour,Labour,field
1985-04-01,9,0,0.0,0.0,labour,Labour,field
1985-05-01,2,0,0.0,0.0,labour,Labour,field
1985-06-01,5,0,0.0,0.0,labour,Labour,field
1985-07-01,2,0,0.0,0.0,labour,Labour,field
1985-08-01,4,0,0.0,0.0,labour,Labour,field
1985-09-01,5,0,0.0,0.0,labour,Labour,field
1985-10-01,6,0,0.0,0.0,labour,Labour,field
1985-11-01,4,0,0.0,0.0,labour,Labour,field
1985-12-01,3,0,0.0,0.0,labour,Labour,field
1986-01-01,30,0,0.0,0.0,labour,Labour,field
1986-02-01,3,0,0.0,0.0,labour,Labour,field
1986-03-01,5,0,0.0,0.0,labour,Labour,field
1986-04-01,3,0,0.0,0.0,labour,Labour,field
1986-05-01,0,0,0.0,0.0,labour,Labour,field
1986-06-01,2,0,0.0,0.0,labour,Labour,field
1986-07-01,5,0,0.0,0.0,labour,Labour,field
1986-08-01,2,0,0.0,0.0,labour,Labour,field
1986-09-01,4,0,0.0,0.0,labour,Labour,field
1986-10-01,6,0,0.0,0.0,labour,Labour,field
1986-11-01,2,0,0.0,0.0,labour,Labour,field
1986-12-01,4,0,0.0,0.0,labour,Labour,field
1987-01-01,22,0,0.0,0.0,labour,Labour,field
1987-02-01,11,0,0.0,0.0,labour,Labour,field
1987-03-01,4,0,0.0,0.0,labour,Labour,field
1987-04-01,9,0,0.0,0.0,labour,Labour,field
1987-05-01,3,0,0.0,0.0,labour,Labour,field
1987-06-01,2,0,0.0,0.0,labour,Labour,field
1987-07-01,8,0,0.0,0.0,labour,Labour,field
1987-08-01,3,0,0.0,0.0,labour,Labour,field
1987-09-01,3,0,0.0,0.0,labour,Labour,field
1987-10-01,8,0,0.0,0.0,labour,Labour,field
1987-11-01,3,0,0.0,0.0,labour,Labour,field
1987-12-01,4,0,0.0,0.0,labour,Labour,field
1988-01-01,23,0,0.0,0.0,labour,Labour,field
1988-02-01,3,0,0.0,0.0,labour,Labour,field
1988-03-01,6,0,0.0,0.0,labour,Labour,field
1988-04-01,7,0,0.0,0.0,labour,Labour,field
1988-05-01,2,0,0.0,0.0,labour,Labour,field
1988-06-01,4,0,0.0,0.0,labour,Labour,field
1988-07-01,3,0,0.0,0.0,labour,Labour,field
1988-08-01,4,0,0.0,0.0,labour,Labour,field
1988-09-01,8,0,0.0,0.0,labour,Labour,field
1988-10-01,8,0,0.0,0.0,labour,Labour,field
1988-11-01,2,0,0.0,0.0,labour,Labour,field
1988-12-01,1,0,0.0,0.0,labour,Labour,field
1989-01-01,26,0,0.0,0.0,labour,Labour,field
1989-02-01,5,0,0.0,0.0,labour,Labour,field
1989-03-01,5,0,0.0,0.0,labour,Labour,field
1989-04-01,9,0,0.0,0.0,labour,Labour,field
1989-05-01,2,0,0.0,0.0,labour,Labour,field
1989-06-01,2,0,0.0,0.0,labour,Labour,field
1989-07-01,4,0,0.0,0.0,labour,Labour,field
1989-08-01,4,0,0.0,0.0,labour,Labour,field
1989-09-01,5,0,0.0,0.0,labour,Labour,field
1989-10-01,3,0,0.0,0.0,labour,Labour,field
1989-11-01,5,0,0.0,0.0,labour,Labour,field
1989-12-01,5,0,0.0,0.0,labour,Labour,field
1990-01-01,38,0,0.0,0.0,labour,Labour,field
1990-02-01,7,0,0.0,0.0,labour,Labour,field
1990-03-01,0,0,0.0,0.0,labour,Labour,field
1990-04-01,9,0,0.0,0.0,labour,Labour,field
1990-05-01,5,0,0.0,0.0,labour,Labour,field
1990-06-01,5,0,0.0,0.0,labour,Labour,field
1990-07-01,7,0,0.0,0.0,labour,Labour,field
1990-08-01,4,0,0.0,0.0,labour,Labour,field
1990-09-01,7,0,0.0,0.0,labour,Labour,field
