stage,group,count,total,share
corpus_all,other,2307536,2542028,0.9077539665180714
corpus_all,environment_climate,77551,2542028,0.030507531781711294
corpus_all,macro_cycle_prices,43525,2542028,0.01712215601087006
corpus_all,finance_tax,30364,2542028,0.011944793684412603
corpus_all,labor_income_demand,26695,2542028,0.01050145789110112
corpus_all,trade_urban_structure,22758,2542028,0.0089526944628462
corpus_all,innovation_technology,17477,2542028,0.0068752193130838845
corpus_all,uncertainty_risk,16122,2542028,0.006342180337903438
corpus_recent_2016,other,991311,1141612,0.8683431848999484
corpus_recent_2016,environment_climate,65110,1141612,0.057033387876091
corpus_recent_2016,macro_cycle_prices,20922,1141612,0.018326716958125877
corpus_recent_2016,finance_tax,17123,1141612,0.014998966373864326
corpus_recent_2016,trade_urban_structure,13383,1141612,0.011722897096386513
corpus_recent_2016,innovation_technology,12465,1141612,0.010918771001005596
corpus_recent_2016,labor_income_demand,12073,1141612,0.010575396894917013
corpus_recent_2016,uncertainty_risk,9225,1141612,0.008080678899661181
h10_reranker_top100,other,119,200,0.595
h10_reranker_top100,environment_climate,35,200,0.175
h10_reranker_top100,macro_cycle_prices,20,200,0.1
h10_reranker_top100,trade_urban_structure,9,200,0.045
h10_reranker_top100,innovation_technology,7,200,0.035
h10_reranker_top100,labor_income_demand,6,200,0.03
h10_reranker_top100,finance_tax,4,200,0.02
h10_shortlist_top100,environment_climate,97,200,0.485
h10_shortlist_top100,macro_cycle_prices,34,200,0.17
h10_shortlist_top100,finance_tax,15,200,0.075
h10_shortlist_top100,other,15,200,0.075
h10_shortlist_top100,labor_income_demand,14,200,0.07
h10_shortlist_top100,trade_urban_structure,14,200,0.07
h10_shortlist_top100,innovation_technology,10,200,0.05
h10_shortlist_top100,uncertainty_risk,1,200,0.005
h10_surface_top100,environment_climate,116,200,0.58
h10_surface_top100,macro_cycle_prices,26,200,0.13
h10_surface_top100,labor_income_demand,16,200,0.08
h10_surface_top100,finance_tax,13,200,0.065
h10_surface_top100,other,11,200,0.055
h10_surface_top100,trade_urban_structure,9,200,0.045
h10_surface_top100,innovation_technology,8,200,0.04
h10_surface_top100,uncertainty_risk,1,200,0.005
h10_transparent_top100,other,182,200,0.91
h10_transparent_top100,environment_climate,16,200,0.08
h10_transparent_top100,labor_income_demand,1,200,0.005
h10_transparent_top100,macro_cycle_prices,1,200,0.005
h5_reranker_top100,other,126,200,0.63
h5_reranker_top100,environment_climate,34,200,0.17
h5_reranker_top100,macro_cycle_prices,18,200,0.09
h5_reranker_top100,innovation_technology,7,200,0.035
h5_reranker_top100,trade_urban_structure,7,200,0.035
h5_reranker_top100,finance_tax,4,200,0.02
h5_reranker_top100,labor_income_demand,4,200,0.02
h5_shortlist_top100,environment_climate,101,200,0.505
h5_shortlist_top100,macro_cycle_prices,24,200,0.12
h5_shortlist_top100,innovation_technology,17,200,0.085
h5_shortlist_top100,other,16,200,0.08
h5_shortlist_top100,trade_urban_structure,15,200,0.075
h5_shortlist_top100,finance_tax,13,200,0.065
h5_shortlist_top100,labor_income_demand,13,200,0.065
h5_shortlist_top100,uncertainty_risk,1,200,0.005
h5_surface_top100,environment_climate,122,200,0.61
h5_surface_top100,macro_cycle_prices,20,200,0.1
h5_surface_top100,innovation_technology,12,200,0.06
h5_surface_top100,labor_income_demand,12,200,0.06
h5_surface_top100,other,12,200,0.06
h5_surface_top100,trade_urban_structure,11,200,0.055
h5_surface_top100,finance_tax,10,200,0.05
h5_surface_top100,uncertainty_risk,1,200,0.005
h5_transparent_top100,other,182,200,0.91
h5_transparent_top100,environment_climate,16,200,0.08
h5_transparent_top100,labor_income_demand,1,200,0.005
h5_transparent_top100,macro_cycle_prices,1,200,0.005
