family,corpus_all_count,corpus_all_share,corpus_recent_2016_count,corpus_recent_2016_share,h5_transparent_top100_count,h5_transparent_top100_share,h5_reranker_top100_count,h5_reranker_top100_share,h5_surface_top100_count,h5_surface_top100_share,h5_shortlist_top100_count,h5_shortlist_top100_share,h10_transparent_top100_count,h10_transparent_top100_share,h10_reranker_top100_count,h10_reranker_top100_share,h10_surface_top100_count,h10_surface_top100_share,h10_shortlist_top100_count,h10_shortlist_top100_share
carbon emissions,16584,0.006525372777265387,13943,0.012217862281567266,3,0.015,20,0.1,39,0.195,23,0.115,3,0.015,21,0.105,39,0.195,23,0.115
digital economy,1127,0.0004434451953677093,1126,0.000986682416197715,0,0.0,0,0.0,2,0.01,5,0.025,0,0.0,0,0.0,2,0.01,5,0.025
environmental pollution,764,0.0003006141342155545,673,0.000589731142185668,0,0.0,1,0.005,5,0.025,5,0.025,0,0.0,1,0.005,5,0.025,5,0.025
environmental quality,4701,0.0018497212630200547,3206,0.002809328442566496,0,0.0,4,0.02,8,0.04,5,0.025,0,0.0,4,0.02,8,0.04,5,0.025
environmental regulation,981,0.0003859979917087159,921,0.0008070466299450226,0,0.0,0,0.0,3,0.015,5,0.025,0,0.0,0,0.0,4,0.02,5,0.025
financial development,2078,0.0008176389671464951,1755,0.001537857584748659,2,0.01,2,0.01,7,0.035,9,0.045,2,0.01,2,0.01,7,0.035,9,0.045
green innovation,1165,0.0004583972072789542,1155,0.0010120943079115106,0,0.0,4,0.02,11,0.055,11,0.055,0,0.0,4,0.02,11,0.055,12,0.06
income tax rate,601,0.00023647787259626734,212,0.00018576969114912574,0,0.0,2,0.01,5,0.025,8,0.04,0,0.0,2,0.01,5,0.025,8,0.04
state of the business cycle,762,0.00029982718622022583,291,0.0002549951892660169,0,0.0,1,0.005,11,0.055,14,0.07,0,0.0,2,0.01,11,0.055,14,0.07
technological innovation,1467,0.0005772263545735844,1386,0.0012145131694938126,0,0.0,1,0.005,6,0.03,8,0.04,0,0.0,1,0.005,4,0.02,8,0.04
urbanization,1415,0.0005567657066950387,1200,0.0010515265536742966,0,0.0,1,0.005,2,0.01,6,0.03,0,0.0,0,0.0,2,0.01,6,0.03
willingness to pay,7053,0.0027751721055265786,3789,0.0033201950932265916,0,0.0,4,0.02,8,0.04,11,0.055,0,0.0,4,0.02,8,0.04,11,0.055
