stage,group,count,total,share
corpus_all,other,2291105,2541436,0.9015001754913364
corpus_all,environment_climate,88255,2541436,0.034726430254391615
corpus_all,macro_cycle_prices,42786,2541436,0.016835363943849067
corpus_all,labor_income_demand,32595,2541436,0.012825426255077838
corpus_all,finance_tax,30359,2541436,0.011945608703111154
corpus_all,trade_urban_structure,22749,2541436,0.008951238591095742
corpus_all,innovation_technology,17467,2541436,0.00687288603765745
corpus_all,uncertainty_risk,16120,2541436,0.006342870723480741
corpus_recent_2016,other,981080,1141178,0.859708126164367
corpus_recent_2016,environment_climate,72537,1141178,0.06356326532758255
corpus_recent_2016,macro_cycle_prices,20269,1141178,0.01776147104132747
corpus_recent_2016,finance_tax,17118,1141178,0.015000289174870177
corpus_recent_2016,labor_income_demand,15120,1141178,0.013249466779065142
corpus_recent_2016,trade_urban_structure,13375,1141178,0.011720345117063245
corpus_recent_2016,innovation_technology,12455,1141178,0.010914160630506372
corpus_recent_2016,uncertainty_risk,9224,1141178,0.008082875765218047
h10_reranker_top100,other,119,200,0.595
h10_reranker_top100,environment_climate,42,200,0.21
h10_reranker_top100,macro_cycle_prices,18,200,0.09
h10_reranker_top100,innovation_technology,6,200,0.03
h10_reranker_top100,labor_income_demand,6,200,0.03
h10_reranker_top100,trade_urban_structure,5,200,0.025
h10_reranker_top100,finance_tax,3,200,0.015
h10_reranker_top100,uncertainty_risk,1,200,0.005
h10_shortlist_top100,environment_climate,71,200,0.355
h10_shortlist_top100,other,30,200,0.15
h10_shortlist_top100,macro_cycle_prices,29,200,0.145
h10_shortlist_top100,trade_urban_structure,21,200,0.105
h10_shortlist_top100,innovation_technology,17,200,0.085
h10_shortlist_top100,finance_tax,16,200,0.08
h10_shortlist_top100,labor_income_demand,13,200,0.065
h10_shortlist_top100,uncertainty_risk,3,200,0.015
h10_surface_top100,environment_climate,112,200,0.56
h10_surface_top100,macro_cycle_prices,24,200,0.12
h10_surface_top100,other,21,200,0.105
h10_surface_top100,finance_tax,11,200,0.055
h10_surface_top100,innovation_technology,11,200,0.055
h10_surface_top100,trade_urban_structure,11,200,0.055
h10_surface_top100,labor_income_demand,8,200,0.04
h10_surface_top100,uncertainty_risk,2,200,0.01
h10_transparent_top100,other,183,200,0.915
h10_transparent_top100,environment_climate,10,200,0.05
h10_transparent_top100,labor_income_demand,3,200,0.015
h10_transparent_top100,finance_tax,2,200,0.01
h10_transparent_top100,macro_cycle_prices,2,200,0.01
h5_reranker_top100,other,115,200,0.575
h5_reranker_top100,environment_climate,44,200,0.22
h5_reranker_top100,macro_cycle_prices,18,200,0.09
h5_reranker_top100,innovation_technology,6,200,0.03
h5_reranker_top100,labor_income_demand,6,200,0.03
h5_reranker_top100,trade_urban_structure,6,200,0.03
h5_reranker_top100,finance_tax,3,200,0.015
h5_reranker_top100,uncertainty_risk,2,200,0.01
h5_shortlist_top100,environment_climate,67,200,0.335
h5_shortlist_top100,macro_cycle_prices,31,200,0.155
h5_shortlist_top100,other,30,200,0.15
h5_shortlist_top100,trade_urban_structure,22,200,0.11
h5_shortlist_top100,labor_income_demand,17,200,0.085
h5_shortlist_top100,finance_tax,16,200,0.08
h5_shortlist_top100,innovation_technology,14,200,0.07
h5_shortlist_top100,uncertainty_risk,3,200,0.015
h5_surface_top100,environment_climate,120,200,0.6
h5_surface_top100,other,26,200,0.13
h5_surface_top100,macro_cycle_prices,21,200,0.105
h5_surface_top100,finance_tax,10,200,0.05
h5_surface_top100,labor_income_demand,10,200,0.05
h5_surface_top100,trade_urban_structure,6,200,0.03
h5_surface_top100,innovation_technology,5,200,0.025
h5_surface_top100,uncertainty_risk,2,200,0.01
h5_transparent_top100,other,183,200,0.915
h5_transparent_top100,environment_climate,10,200,0.05
h5_transparent_top100,labor_income_demand,3,200,0.015
h5_transparent_top100,finance_tax,2,200,0.01
h5_transparent_top100,macro_cycle_prices,2,200,0.01
