family,corpus_all_count,corpus_all_share,corpus_recent_2016_count,corpus_recent_2016_share,h5_transparent_top100_count,h5_transparent_top100_share,h5_reranker_top100_count,h5_reranker_top100_share,h5_surface_top100_count,h5_surface_top100_share,h5_shortlist_top100_count,h5_shortlist_top100_share,h10_transparent_top100_count,h10_transparent_top100_share,h10_reranker_top100_count,h10_reranker_top100_share,h10_surface_top100_count,h10_surface_top100_share,h10_shortlist_top100_count,h10_shortlist_top100_share
carbon emissions,16584,0.006525444669863809,13943,0.012218076408763576,3,0.015,23,0.115,51,0.255,25,0.125,3,0.015,20,0.1,42,0.21,25,0.125
digital economy,1126,0.00044305660264511875,1125,0.0009858234210613946,0,0.0,0,0.0,1,0.005,5,0.025,0,0.0,0,0.0,4,0.02,5,0.025
energy consumption,1992,0.0007838088387824836,1469,0.0012872663160348342,3,0.015,2,0.01,8,0.04,4,0.02,3,0.015,2,0.01,8,0.04,5,0.025
environmental quality,4701,0.0018497416421267346,3206,0.002809377678153627,0,0.0,3,0.015,7,0.035,7,0.035,0,0.0,3,0.015,6,0.03,6,0.03
financial development,2078,0.0008176479753965869,1755,0.0015378845368557753,2,0.01,2,0.01,6,0.03,9,0.045,2,0.01,2,0.01,7,0.035,9,0.045
green innovation,1165,0.00045840225762128184,1155,0.0010121120456230317,0,0.0,4,0.02,11,0.055,10,0.05,0,0.0,4,0.02,13,0.065,12,0.06
income tax rate,601,0.00023648047796600031,212,0.0001857729469022361,0,0.0,1,0.005,4,0.02,7,0.035,0,0.0,1,0.005,4,0.02,7,0.035
price changes,734,0.00028881309621804364,239,0.00020943270900770957,0,0.0,1,0.005,4,0.02,5,0.025,0,0.0,1,0.005,5,0.025,6,0.03
state of the business cycle,762,0.0002998304895342633,291,0.0002549996582478807,0,0.0,1,0.005,8,0.04,13,0.065,0,0.0,2,0.01,9,0.045,12,0.06
technological innovation,1467,0.0005772327141033652,1386,0.001214534454747638,0,0.0,1,0.005,4,0.02,6,0.03,0,0.0,1,0.005,6,0.03,8,0.04
urbanization,1415,0.0005567718408018144,1200,0.0010515449824654874,0,0.0,0,0.0,0,0.0,6,0.03,0,0.0,0,0.0,2,0.01,6,0.03
willingness to pay,7053,0.002775202680689185,3789,0.0033202532821347765,0,0.0,4,0.02,9,0.045,13,0.065,0,0.0,4,0.02,8,0.04,11,0.055
