source_concept_id,target_concept_id,manual_review_label
FG3C000003,FG3C000081,strong_substantive
FG3C001732,FG3C003743,strong_substantive
FG3C000003,FG3C000038,strong_substantive
FG3C000213,FG3C005346,boundary_or_near_duplicate
FG3C000051,FG3C004138,strong_substantive
FG3C000003,FG3C001017,weak_or_mixed
FG3C000327,FG3C005346,strong_substantive
FG3C000003,FG3C001381,strong_substantive
FG3C000002,FG3C000009,strong_substantive
FG3C000003,FG3C001215,strong_substantive
FG3C000145,FG3C005161,boundary_or_near_duplicate
FG3C000001,FG3C000002,strong_substantive
FG3C001732,FG3C003400,strong_substantive
FG3C000028,FG3C000674,boundary_or_near_duplicate
FG3C000009,FG3C000022,strong_substantive
FG3C000025,FG3C000140,boundary_or_near_duplicate
FG3C000674,FG3C001732,weak_or_mixed
FG3C000003,FG3C004506,strong_substantive
FG3C000003,FG3C005690,regime_or_implementation_bundle
FG3C001559,FG3C002449,strong_substantive
FG3C000003,FG3C004906,regime_or_implementation_bundle
FG3C000003,FG3C004211,regime_or_implementation_bundle
FG3C000033,FG3C000140,strong_substantive
FG3C000003,FG3C003149,weak_or_mixed
FG3C000003,FG3C005700,boundary_or_near_duplicate
