source_concept_id,target_concept_id,resolved_design_family,resolution_confidence,resolution_source,resolution_reason
FG3C000003,FG3C000038,descriptive_observational,0.5,provisional_inference_promoted,descriptive_keyword_fallback
FG3C000051,FG3C004138,descriptive_observational,0.5,provisional_inference_promoted,empirical_context_fallback
FG3C001732,FG3C003400,descriptive_observational,0.5,provisional_inference_promoted,empirical_mode_fallback
FG3C000009,FG3C000022,descriptive_observational,0.5,provisional_inference_promoted,descriptive_keyword_fallback
FG3C000033,FG3C000140,descriptive_observational,0.5,provisional_inference_promoted,empirical_mode_fallback
FG3C000003,FG3C000081,panel_FE_or_TWFE,0.75,provisional_inference_promoted,panel_keyword_or_multi_country_panel
FG3C000003,FG3C001215,panel_FE_or_TWFE,0.75,provisional_inference_promoted,panel_keyword_or_multi_country_panel
FG3C000001,FG3C000002,time_series_econometrics,0.75,provisional_inference_promoted,time_series_keyword
FG3C001732,FG3C003743,descriptive_observational,0.75,manual_review,manual_review_generic_drug_price_comparison
FG3C000327,FG3C005346,theory_or_model,0.75,manual_review,manual_review_tax_evasion_theory_dominant
FG3C000003,FG3C001381,simulation,0.5,manual_review,manual_review_energy_modeling_simulation_lean
FG3C000003,FG3C004506,simulation,0.5,manual_review,manual_review_fossil_fuel_modeling_simulation_lean
FG3C001559,FG3C002449,descriptive_observational,0.75,manual_review,manual_review_land_use_water_quality_observational
