source_concept_id,target_concept_id,policy_edge_semantic_type,policy_edge_semantic_confidence,policy_edge_semantic_reason,regime_guardrail_decision,regime_guardrail_reason
FG3C000003,FG3C001408,governance_regime,1.0,target_label_keyword,drop,generic_policy_object
FG3C000213,FG3C005346,policy_instrument,1.0,target_label_keyword,drop,boundary_case
FG3C000024,FG3C005161,governance_regime,0.75,source_label_keyword,keep,clean_policy_semantic
FG3C000327,FG3C005346,policy_instrument,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C000003,FG3C004211,policy_instrument,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C000541,FG3C005346,policy_instrument,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C000003,FG3C003006,policy_instrument,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C000582,FG3C005346,policy_instrument,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C005346,FG3C006383,policy_instrument,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C000003,FG3C005690,policy_target,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C000003,FG3C004906,policy_target,1.0,target_label_keyword,keep,clean_policy_semantic
FG3C000003,FG3C002414,none,1.0,manual_review_generic_policy_object,drop,generic_policy_object
