concept_id,label,plain_label,subtitle,display_concept_id,display_refined,display_refinement_confidence,alternate_display_labels,bucket_hint,instance_support,distinct_paper_support,weighted_degree,pagerank,in_degree,out_degree,neighbor_count,top_countries,top_units,app_link
FG3C000001,economic growth,economic growth,,FG3C000001,False,0.0,"[""Chinese growth"", ""Economic Growth"", ""Financial growth""]",adjacent,3910,3910,3065.0,0.13532275,79,65,84,"[""China"", ""India"", ""CHN""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000001
FG3C000003,CO2 emissions,CO2 emissions,,FG3C000003,False,0.0,"[""CO2 emissions"", ""CO2 emissions from electricity consumption"", ""CO₂ emissions""]",adjacent,1541,1541,2412.0,0.11376604,69,50,75,"[""China"", ""India"", ""CHN""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000003
FG3C000010,carbon emissions,carbon emissions,,FG3C000010,False,0.0,"[""CO2 emissions (CO2)"", ""CO2 emissions from fossil fuels"", ""Carbon Dioxide emissions""]",adjacent,1268,1268,1487.0,0.07032535,64,43,68,"[""China"", ""CHN"", ""India""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000010
FG3C000018,renewable energy consumption,renewable energy consumption,,FG3C000018,False,0.0,"[""Renewable Energy Consumption"", ""Renewable consumption"", ""Renewable energy consumption (REN)""]",adjacent,1042,1042,1346.0,0.05728579,67,61,78,"[""China"", ""India"", ""OECD""]","[""country"", ""region"", ""other""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000018
FG3C000014,energy consumption,energy consumption,,FG3C000014,False,0.0,"[""Absolute energy consumption"", ""Commercial energy consumption"", ""Conventional energy consumption""]",adjacent,1059,1057,1344.0,0.05368281,53,55,66,"[""China"", ""India"", ""Pakistan""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000014
FG3C000006,financial development,financial development,,FG3C000006,False,0.0,"[""Development finance"", ""Financial Development"", ""Financial Development (FDT)""]",adjacent,1187,1186,1104.0,0.02789008,54,69,80,"[""China"", ""India"", ""Pakistan""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000006
FG3C000064,ecological footprint,ecological footprint,,FG3C000064,False,0.0,"[""Carbon ecological footprint"", ""Cropland ecological footprint"", ""Ecological Footprint""]",adjacent,388,385,822.0,0.03808772,48,28,53,"[""China"", ""India"", ""OECD""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000064
FG3C000017,trade openness,trade openness,,FG3C000017,False,0.0,"[""Agricultural trade openness"", ""High trade openness"", ""Low trade openness""]",adjacent,890,888,693.0,0.01750819,34,62,70,"[""China"", ""India"", ""OECD""]","[""country"", ""region"", ""industry""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000017
FG3C000012,urbanization,urbanization,,FG3C000012,False,0.0,"[""China urbanization"", ""Cities / urbanization"", ""Urbanization""]",adjacent,982,979,670.0,0.01828774,31,55,61,"[""China"", ""India"", ""CHN""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000012
FG3C000015,foreign direct investments,foreign direct investments,,FG3C000015,False,0.0,"[""Agricultural Foreign Direct Investment (FDI)"", ""Agricultural outward foreign direct investment (OFDI)"", ""Attraction of foreign direct investment (FDI)""]",adjacent,1069,1051,529.0,0.01239824,37,59,69,"[""China"", ""India"", ""CHN""]","[""country"", ""region"", ""location""]",https://frontiergraph-app-1058669339361.us-central1.run.app?variant=broad&view=concept&concept=FG3C000015
