opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
inflation -> human capital,E31 -> J24,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field gap,0.6091234328587036,0.5990399201148966,27,225,225
investment decisions -> monetary policy,G11 -> E52,Financial economics,Macroeconomics and monetary economics,Cross-field gap,0.5539077181452429,0.5485554919522055,100,171,171
exchange rates -> human capital,F31 -> J24,International economics,Labor and demographic economics,Cross-field gap,0.6017220979445034,0.5604891996041255,7,219,219
exchange rates -> job creation,F31 -> J23,International economics,Labor and demographic economics,Cross-field gap,0.545333108665762,0.511589509521158,42,170,170
imperfect information -> fiscal policy,D83 -> E62,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.5489772051478687,0.5115576381101211,37,186,186
central bank independence -> terms of trade,E58 -> F14,Macroeconomics and monetary economics,International economics,Cross-field gap,0.5322260343502565,0.48794035863672697,29,186,186
fiscal policy -> higher prices,E62 -> D49,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.5265244241081246,0.4696341505318193,36,186,186
economic growth -> financial fragility,O49 -> G51,"Economic development, innovation, and growth",Financial economics,Cross-field gap,0.493493373274838,0.4396700037722734,100,182,182
firm value -> unemployment,G32 -> J64,Financial economics,Labor and demographic economics,Cross-field gap,0.5212468461011268,0.45008672846733977,19,191,191
human capital -> exchange rates,J24 -> F31,Labor and demographic economics,International economics,Cross-field gap,0.5353099274819718,0.45406691148155087,7,205,205
financial instability -> market power,F65 -> L11,International economics,Industrial organization,Cross-field gap,0.4782957172706165,0.4130684457173618,76,169,169
central bank independence -> consumption decisions,E58 -> D12,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.4812517408335516,0.4047768125563192,29,151,151
coordination -> equity premium,E61 -> G12,Macroeconomics and monetary economics,Financial economics,Cross-field gap,0.478081582898676,0.401362379510097,29,138,138
consumer welfare -> capital accumulation,D69 -> E22,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.46008813318387815,0.3932376058723322,251,215,215
consumer surplus -> depreciation,D11 -> D25,Microeconomics,Microeconomics,Within-field gap,0.36134050076985896,0.38414675652579094,99,183,183
capital flows -> higher prices,F32 -> D49,International economics,Microeconomics,Cross-field gap,0.46664599341175517,0.3861704954108844,74,187,187
median voter preferences -> interest rates,D79 -> E43,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.4605950098606145,0.3782256894934147,67,165,165
public debt -> calibrated model,H63 -> C51,Public economics,Mathematical and quantitative methods,Cross-field gap,0.46618094262902016,0.37947993049807505,39,157,157
