opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
inflation -> sentiments,E31 -> A13,Macroeconomics and monetary economics,General economics and teaching,Cross-field boundary,0.41899104287319255,0.21566005631491592,0,26,26
social security -> sentiments,H55 -> A13,Public economics,General economics and teaching,Cross-field boundary,0.41406130418890486,0.21237292374170255,0,18,18
citation counts -> trade patterns,A14 -> F10,General economics and teaching,International economics,Cross-field boundary,0.4127259649300206,0.21232277933399787,0,15,15
social security -> teacher effectiveness,H55 -> A21,Public economics,General economics and teaching,Cross-field boundary,0.4115953828531679,0.21054174466583989,0,15,15
trade -> citation counts,F19 -> A14,International economics,General economics and teaching,Cross-field boundary,0.4113865251445886,0.2095627922524652,0,16,16
citation counts -> carbon tax,A14 -> H23,General economics and teaching,Public economics,Cross-field boundary,0.41124083047159044,0.21001737697514086,0,15,15
trade liberalization -> citation counts,F13 -> A14,International economics,General economics and teaching,Cross-field boundary,0.4109123895041957,0.2087385706103691,0,16,16
banks -> teacher effectiveness,G21 -> A21,Financial economics,General economics and teaching,Cross-field boundary,0.41085099450472135,0.20939194671408953,0,15,15
borrowing constraints -> sentiments,F34 -> A13,International economics,General economics and teaching,Cross-field boundary,0.41075912248151836,0.2078712318153555,0,17,17
public debt -> sentiments,H63 -> A13,Public economics,General economics and teaching,Cross-field boundary,0.4104258578193917,0.2087350051256534,0,15,15
teacher effectiveness -> income,A21 -> E25,General economics and teaching,Macroeconomics and monetary economics,Cross-field boundary,0.4090564785272791,0.2100772935056302,0,11,11
citation counts -> capital inflows,A14 -> F21,General economics and teaching,International economics,Cross-field boundary,0.4087635590468874,0.20782111177075055,0,13,13
sentiments -> inflation,A13 -> E31,General economics and teaching,Macroeconomics and monetary economics,Cross-field boundary,0.40849825490447883,0.20729542919864063,0,13,13
coordination -> citation counts,E61 -> A14,Macroeconomics and monetary economics,General economics and teaching,Cross-field boundary,0.40823011586221114,0.20621152556330402,0,14,14
monetary policy -> citation counts,E52 -> A14,Macroeconomics and monetary economics,General economics and teaching,Cross-field boundary,0.40818056667493424,0.20686605157686289,0,13,13
data accumulation -> sentiments,C80 -> A13,Mathematical and quantitative methods,General economics and teaching,Cross-field boundary,0.40810941124208794,0.20599359890888122,0,14,14
trade -> teacher effectiveness,F19 -> A21,International economics,General economics and teaching,Cross-field boundary,0.408069808870579,0.20757994590144035,0,12,12
emu -> sentiments,F36 -> A13,International economics,General economics and teaching,Cross-field boundary,0.4079816621837016,0.20575843620157575,0,14,14
borrowing constraints -> citation counts,F34 -> A14,International economics,General economics and teaching,Cross-field boundary,0.4077821514741257,0.20548110084934007,0,14,14
central bank independence -> citation counts,E58 -> A14,Macroeconomics and monetary economics,General economics and teaching,Cross-field boundary,0.40767805765834164,0.20609740543255922,0,13,13
citation counts -> lower prices,A14 -> P22,General economics and teaching,Economic systems,Cross-field boundary,0.40752713569560356,0.2086208446167269,0,10,10
high-skilled immigrants -> sentiments,J61 -> A13,Labor and demographic economics,General economics and teaching,Cross-field boundary,0.40726785980648633,0.20546997248994442,0,13,13
citation counts -> income,A14 -> E25,General economics and teaching,Macroeconomics and monetary economics,Cross-field boundary,0.4072357022310722,0.206333568258396,0,12,12
exchange rates -> teacher effectiveness,F31 -> A21,International economics,General economics and teaching,Cross-field boundary,0.40721486191513234,0.20629635636720847,0,12,12
citation counts -> monetary policy,A14 -> E52,General economics and teaching,Macroeconomics and monetary economics,Cross-field boundary,0.4068151171567604,0.2066243745332979,0,11,11
institutional quality -> learning outcomes,L15 -> A22,Industrial organization,General economics and teaching,Cross-field boundary,0.40679980024948764,0.20657042830555636,0,11,11
citation counts -> trade,A14 -> F19,General economics and teaching,International economics,Cross-field boundary,0.4067663666813643,0.20561539049105024,0,12,12
