opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
historical context -> polarization,B15 -> C46,History of economic thought,Mathematical and quantitative methods,Cross-field boundary,0.411551239130012,0.21046878928444118,0,15,15
patents -> gradualist approach,O34 -> B52,"Economic development, innovation, and growth",History of economic thought,Cross-field boundary,0.40958529698145973,0.20750086842099494,0,15,15
legal reform -> gradualist approach,K41 -> B52,Law and economics,History of economic thought,Cross-field boundary,0.40725426868787745,0.20543864435564796,0,13,13
economic integration -> salient thinkers,F15 -> B31,International economics,History of economic thought,Cross-field boundary,0.4065778217982624,0.2044365852794756,0,13,13
mergers -> salient thinkers,G34 -> B31,Financial economics,History of economic thought,Cross-field boundary,0.406075992493273,0.20648875896871235,0,10,10
banks -> salient thinkers,G21 -> B31,Financial economics,History of economic thought,Cross-field boundary,0.4059862758339122,0.2063191476908788,0,10,10
trade liberalization -> salient thinkers,F13 -> B31,International economics,History of economic thought,Cross-field boundary,0.4054026347628424,0.2054042194126206,0,10,10
capital inflows -> salient thinkers,F21 -> B31,International economics,History of economic thought,Cross-field boundary,0.40537194530946297,0.20437150503484444,0,11,11
investment -> salient thinkers,G31 -> B31,Financial economics,History of economic thought,Cross-field boundary,0.4053359957607558,0.20433420672184138,0,11,11
terms of trade -> salient thinkers,F14 -> B31,International economics,History of economic thought,Cross-field boundary,0.4049087052589905,0.20367364133908678,0,11,11
decentralization -> salient thinkers,H77 -> B31,Public economics,History of economic thought,Cross-field boundary,0.40466000599766233,0.2042913688647574,0,10,10
credit constraints -> salient thinkers,E51 -> B31,Macroeconomics and monetary economics,History of economic thought,Cross-field boundary,0.40456844732163844,0.20414253382301703,0,10,10
public debt -> salient thinkers,H63 -> B31,Public economics,History of economic thought,Cross-field boundary,0.40440299735631485,0.20390108989270675,0,10,10
trade -> salient thinkers,F19 -> B31,International economics,History of economic thought,Cross-field boundary,0.4042704437873066,0.20475055846798682,0,9,9
depreciation -> salient thinkers,D25 -> B31,Microeconomics,History of economic thought,Cross-field boundary,0.40412475083999383,0.20348157983390858,0,10,10
emu -> evolution of macroeconomic thought,F36 -> B22,International economics,History of economic thought,Cross-field boundary,0.4040257272885114,0.2044694248965572,0,9,9
methodology -> high-skilled immigrants,B41 -> J61,History of economic thought,Labor and demographic economics,Cross-field boundary,0.40377753173281894,0.20404593472310018,0,9,9
tax policy -> evolution of macroeconomic thought,H29 -> B22,Public economics,History of economic thought,Cross-field boundary,0.4037325192530669,0.2051863510123116,0,8,8
borrowing constraints -> salient thinkers,F34 -> B31,International economics,History of economic thought,Cross-field boundary,0.4036359588270455,0.20381673741716438,0,9,9
educational policies -> gradualist approach,I28 -> B52,"Health, education, and welfare",History of economic thought,Cross-field boundary,0.40362461724896526,0.202745840027228,0,10,10
patents -> historical context,O34 -> B15,"Economic development, innovation, and growth",History of economic thought,Cross-field boundary,0.4034444705597494,0.2047995464256848,0,8,8
evolution of macroeconomic thought -> consumer welfare,B22 -> D69,History of economic thought,Microeconomics,Cross-field boundary,0.40335521510385214,0.204599560488817,0,8,8
employment -> salient thinkers,J63 -> B31,Labor and demographic economics,History of economic thought,Cross-field boundary,0.4033383118095113,0.20339112327524478,0,9,9
auction outcomes -> historical context,D44 -> B15,Microeconomics,History of economic thought,Cross-field boundary,0.40324144701303055,0.20322308518311114,0,9,9
historical context -> auction outcomes,B15 -> D44,History of economic thought,Microeconomics,Cross-field boundary,0.40316911548674106,0.203134461066109,0,9,9
historical context -> price volatility,B15 -> G13,History of economic thought,Financial economics,Cross-field boundary,0.40306809876233796,0.20573104349318042,0,7,7
