opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
credit constraints -> model,E51 -> C52,Macroeconomics and monetary economics,Mathematical and quantitative methods,Cross-field gap,0.4668591342308957,0.3795319807295332,51,184,184
public debt -> calibrated model,H63 -> C51,Public economics,Mathematical and quantitative methods,Cross-field gap,0.46618094262902016,0.37947993049807505,39,157,157
clustering -> economic stability,C38 -> E63,Mathematical and quantitative methods,Macroeconomics and monetary economics,Cross-field boundary,0.43916782479337085,0.24674569759273224,0,30,30
credit constraints -> calibrated model,E51 -> C51,Macroeconomics and monetary economics,Mathematical and quantitative methods,Cross-field gap,0.43734178973375654,0.34045001981812406,53,144,144
market power -> qe,L11 -> C22,Industrial organization,Mathematical and quantitative methods,Cross-field gap,0.43657900507884867,0.33828780301737243,85,181,181
interest rates -> renegotiation,E43 -> C78,Macroeconomics and monetary economics,Mathematical and quantitative methods,Cross-field gap,0.4359970012560164,0.3219706125357603,33,164,164
ai -> managerial decisions,C45 -> M51,Mathematical and quantitative methods,Business administration and business economics,Cross-field boundary,0.43098507063220487,0.2335332541128948,0,28,28
price discrimination -> calibrated model,D40 -> C51,Microeconomics,Mathematical and quantitative methods,Cross-field gap,0.4294592430042121,0.3405439148351355,127,157,157
unique equilibrium -> consumption decisions,C62 -> D12,Mathematical and quantitative methods,Microeconomics,Cross-field gap,0.42940296385379634,0.33358574190464746,116,179,179
economic stability -> clustering,E63 -> C38,Macroeconomics and monetary economics,Mathematical and quantitative methods,Cross-field boundary,0.4261736641526269,0.22743082392085634,0,25,25
ai -> financial fragility,C45 -> G51,Mathematical and quantitative methods,Financial economics,Cross-field boundary,0.4256143111069712,0.22596054277653765,0,26,26
capital controls -> measurement errors,F38 -> C83,International economics,Mathematical and quantitative methods,Cross-field boundary,0.4247237448030851,0.22027710809435816,0,37,37
public investment -> centrality measures,H54 -> C10,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.4212068986940324,0.2155987742742784,0,35,35
polarization -> economic stagnation,C46 -> O52,Mathematical and quantitative methods,"Economic development, innovation, and growth",Cross-field boundary,0.420496128929216,0.21795670076108617,0,26,26
patents -> reputational equilibrium,O34 -> C73,"Economic development, innovation, and growth",Mathematical and quantitative methods,Cross-field boundary,0.41967407468352813,0.21822415047982277,0,23,23
dynamic price index (dpi) -> legal reform,C43 -> K41,Mathematical and quantitative methods,Law and economics,Cross-field boundary,0.41952926027956067,0.21613983304736825,0,27,27
