opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
imperfect information -> fiscal policy,D83 -> E62,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.5489772051478687,0.5115576381101211,37,186,186
fiscal policy -> higher prices,E62 -> D49,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.5265244241081246,0.4696341505318193,36,186,186
central bank independence -> consumption decisions,E58 -> D12,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.4812517408335516,0.4047768125563192,29,151,151
institutional quality -> precautionary savings,L15 -> D14,Industrial organization,Microeconomics,Cross-field gap,0.4681121833980608,0.37285678337937994,44,203,203
capital flows -> higher prices,F32 -> D49,International economics,Microeconomics,Cross-field gap,0.46664599341175517,0.3861704954108844,74,187,187
median voter preferences -> interest rates,D79 -> E43,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.4605950098606145,0.3782256894934147,67,165,165
consumer welfare -> capital accumulation,D69 -> E22,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.46008813318387815,0.3932376058723322,251,215,215
fiscal policy -> price discrimination,E62 -> D40,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.4441955756866325,0.32136511404185175,17,163,163
borrowing constraints -> risk aversion,F34 -> D81,International economics,Microeconomics,Cross-field gap,0.43860285679454175,0.346356227967969,71,150,150
economic growth -> median voter preferences,O49 -> D79,"Economic development, innovation, and growth",Microeconomics,Cross-field gap,0.4352657712708036,0.33442112222085885,87,205,205
mergers -> home production,G34 -> D13,Financial economics,Microeconomics,Cross-field boundary,0.4338799591060412,0.23262345592254377,0,43,43
public debt -> home production,H63 -> D13,Public economics,Microeconomics,Cross-field boundary,0.43232331502359417,0.23268807971206562,0,37,37
public debt -> price discrimination,H63 -> D40,Public economics,Microeconomics,Cross-field gap,0.4304947905355766,0.30482154171971143,23,165,165
price discrimination -> calibrated model,D40 -> C51,Microeconomics,Mathematical and quantitative methods,Cross-field gap,0.4294592430042121,0.3405439148351355,127,157,157
unique equilibrium -> consumption decisions,C62 -> D12,Mathematical and quantitative methods,Microeconomics,Cross-field gap,0.42940296385379634,0.33358574190464746,116,179,179
corporate income tax -> asymmetric information,K34 -> D82,Law and economics,Microeconomics,Cross-field boundary,0.42736810307029816,0.22982326753227408,0,24,24
exchange rates -> auction outcomes,F31 -> D44,International economics,Microeconomics,Cross-field gap,0.42726387295022134,0.29852105332635515,18,134,134
asymmetric information -> increased immigration,D82 -> K37,Microeconomics,Law and economics,Cross-field boundary,0.4270695104179517,0.22669002400506655,0,30,30
transparency -> home production,G38 -> D13,Financial economics,Microeconomics,Cross-field boundary,0.42538354959541824,0.22190236979493702,0,35,35
higher prices -> borrowing constraints,D49 -> F34,Microeconomics,International economics,Cross-field gap,0.42329783563305323,0.31835386925603965,51,135,135
antidumping measures -> auction outcomes,F18 -> D44,International economics,Microeconomics,Cross-field boundary,0.4229520558615899,0.2234107920506574,0,23,23
altruism -> structural transformation,D64 -> L16,Microeconomics,Industrial organization,Cross-field boundary,0.42285053229805336,0.22000528959520627,0,30,30
increased immigration -> asymmetric information,K37 -> D82,Law and economics,Microeconomics,Cross-field boundary,0.4227163513090061,0.21978643442258827,0,30,30
increased immigration -> bureaucracy,K37 -> D73,Law and economics,Microeconomics,Cross-field boundary,0.4218507905837782,0.21806955455353652,0,31,31
network structure -> unions,D85 -> J51,Microeconomics,Labor and demographic economics,Cross-field boundary,0.42134628223057585,0.2180233135425063,0,29,29
