opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
inflation -> human capital,E31 -> J24,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field gap,0.6091234328587036,0.5990399201148966,27,225,225
investment decisions -> monetary policy,G11 -> E52,Financial economics,Macroeconomics and monetary economics,Cross-field gap,0.5539077181452429,0.5485554919522055,100,171,171
imperfect information -> fiscal policy,D83 -> E62,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.5489772051478687,0.5115576381101211,37,186,186
central bank independence -> terms of trade,E58 -> F14,Macroeconomics and monetary economics,International economics,Cross-field gap,0.5322260343502565,0.48794035863672697,29,186,186
fiscal policy -> higher prices,E62 -> D49,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.5265244241081246,0.4696341505318193,36,186,186
central bank independence -> consumption decisions,E58 -> D12,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.4812517408335516,0.4047768125563192,29,151,151
coordination -> equity premium,E61 -> G12,Macroeconomics and monetary economics,Financial economics,Cross-field gap,0.478081582898676,0.401362379510097,29,138,138
credit constraints -> model,E51 -> C52,Macroeconomics and monetary economics,Mathematical and quantitative methods,Cross-field gap,0.4668591342308957,0.3795319807295332,51,184,184
interest rates -> trade liberalization,E43 -> F13,Macroeconomics and monetary economics,International economics,Cross-field gap,0.4620689960673892,0.36653743758274543,35,184,184
median voter preferences -> interest rates,D79 -> E43,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.4605950098606145,0.3782256894934147,67,165,165
consumer welfare -> capital accumulation,D69 -> E22,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.46008813318387815,0.3932376058723322,251,215,215
trade -> economic recovery,F19 -> E65,International economics,Macroeconomics and monetary economics,Cross-field gap,0.45154671882127617,0.3660454759957291,83,194,194
central bank independence -> immigration,E58 -> F22,Macroeconomics and monetary economics,International economics,Cross-field boundary,0.44934469709525027,0.25539752875608474,0,52,52
fdi -> interest rates,F23 -> E43,International economics,Macroeconomics and monetary economics,Cross-field gap,0.44634698698203273,0.3434546897012278,44,178,178
competition -> consumption,L13 -> E21,Industrial organization,Macroeconomics and monetary economics,Cross-field gap,0.445716372457194,0.32429690763974717,18,162,162
fiscal policy -> price discrimination,E62 -> D40,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.4441955756866325,0.32136511404185175,17,163,163
patents -> monetary policy,O34 -> E52,"Economic development, innovation, and growth",Macroeconomics and monetary economics,Cross-field boundary,0.4411900486851613,0.24599850948159668,0,39,39
financial instability -> price level,F65 -> E30,International economics,Macroeconomics and monetary economics,Cross-field gap,0.4404621409751524,0.3537407949128466,48,109,109
hac rule -> interest rates,I18 -> E43,"Health, education, and welfare",Macroeconomics and monetary economics,Cross-field boundary,0.44000630097575577,0.24110071686913467,0,48,48
clustering -> economic stability,C38 -> E63,Mathematical and quantitative methods,Macroeconomics and monetary economics,Cross-field boundary,0.43916782479337085,0.24674569759273224,0,30,30
limited liability -> monetary policy,K13 -> E52,Law and economics,Macroeconomics and monetary economics,Cross-field boundary,0.4387930216232418,0.2419363545047799,0,38,38
central bank independence -> high-skilled immigrants,E58 -> J61,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field boundary,0.43772959110639104,0.24050750279149946,0,39,39
