opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
exchange rates -> human capital,F31 -> J24,International economics,Labor and demographic economics,Cross-field gap,0.6017220979445034,0.5604891996041255,7,219,219
exchange rates -> job creation,F31 -> J23,International economics,Labor and demographic economics,Cross-field gap,0.545333108665762,0.511589509521158,42,170,170
human capital -> exchange rates,J24 -> F31,Labor and demographic economics,International economics,Cross-field gap,0.5353099274819718,0.45406691148155087,7,205,205
central bank independence -> terms of trade,E58 -> F14,Macroeconomics and monetary economics,International economics,Cross-field gap,0.5322260343502565,0.48794035863672697,29,186,186
financial instability -> market power,F65 -> L11,International economics,Industrial organization,Cross-field gap,0.4782957172706165,0.4130684457173618,76,169,169
capital flows -> higher prices,F32 -> D49,International economics,Microeconomics,Cross-field gap,0.46664599341175517,0.3861704954108844,74,187,187
demographic changes -> exchange rates,J11 -> F31,Labor and demographic economics,International economics,Cross-field gap,0.4634395606280003,0.33294786139461574,6,182,182
interest rates -> trade liberalization,E43 -> F13,Macroeconomics and monetary economics,International economics,Cross-field gap,0.4620689960673892,0.36653743758274543,35,184,184
borrowing constraints -> institutional quality,F34 -> L15,International economics,Industrial organization,Cross-field gap,0.45925049878418767,0.3586704289435969,37,187,187
fdi -> fertility,F23 -> J13,International economics,Labor and demographic economics,Cross-field boundary,0.4581913984250716,0.268300491790645,0,57,57
age -> terms of trade,J14 -> F14,Labor and demographic economics,International economics,Cross-field boundary,0.45450179336872193,0.26117926518931567,0,61,61
trade -> public debt,F19 -> H63,International economics,Public economics,Cross-field gap,0.45286740313665524,0.3474981421041723,23,161,161
trade -> economic recovery,F19 -> E65,International economics,Macroeconomics and monetary economics,Cross-field gap,0.45154671882127617,0.3660454759957291,83,194,194
central bank independence -> immigration,E58 -> F22,Macroeconomics and monetary economics,International economics,Cross-field boundary,0.44934469709525027,0.25539752875608474,0,52,52
emu -> life expectancy,F36 -> J17,International economics,Labor and demographic economics,Cross-field boundary,0.44801424853887517,0.2532867479690263,0,50,50
fertility -> fdi,J13 -> F23,Labor and demographic economics,International economics,Cross-field boundary,0.4468119109581596,0.2487042734508959,0,62,62
fdi -> interest rates,F23 -> E43,International economics,Macroeconomics and monetary economics,Cross-field gap,0.44634698698203273,0.3434546897012278,44,178,178
fixed exchange rate regime -> labor supply,F33 -> J22,International economics,Labor and demographic economics,Cross-field boundary,0.4412346796385813,0.24022108250779511,0,58,58
trade liberalization -> less-confident households,F13 -> G59,International economics,Financial economics,Cross-field boundary,0.4411270061066243,0.2440351107744641,0,44,44
financial instability -> price level,F65 -> E30,International economics,Macroeconomics and monetary economics,Cross-field gap,0.4404621409751524,0.3537407949128466,48,109,109
borrowing constraints -> risk aversion,F34 -> D81,International economics,Microeconomics,Cross-field gap,0.43860285679454175,0.346356227967969,71,150,150
age -> trade liberalization,J14 -> F13,Labor and demographic economics,International economics,Cross-field boundary,0.4378118292332258,0.2392204330291617,0,44,44
trade liberalization -> ceo compensation,F13 -> M12,International economics,Business administration and business economics,Cross-field boundary,0.43744167663785993,0.23830404199986463,0,42,42
emu -> efficiency wages,F36 -> J33,International economics,Labor and demographic economics,Cross-field boundary,0.4358778125384903,0.233675163629771,0,50,50
