opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
investment decisions -> monetary policy,G11 -> E52,Financial economics,Macroeconomics and monetary economics,Cross-field gap,0.5539077181452429,0.5485554919522055,100,171,171
firm value -> unemployment,G32 -> J64,Financial economics,Labor and demographic economics,Cross-field gap,0.5212468461011268,0.45008672846733977,19,191,191
economic growth -> financial fragility,O49 -> G51,"Economic development, innovation, and growth",Financial economics,Cross-field gap,0.493493373274838,0.4396700037722734,100,182,182
coordination -> equity premium,E61 -> G12,Macroeconomics and monetary economics,Financial economics,Cross-field gap,0.478081582898676,0.401362379510097,29,138,138
mergers -> fertility,G34 -> J13,Financial economics,Labor and demographic economics,Cross-field boundary,0.4591285924046646,0.2689186151289111,0,57,57
human capital -> moral hazard,J24 -> G52,Labor and demographic economics,Financial economics,Cross-field gap,0.4461469080267677,0.34195605211161784,61,201,201
ethnic diversity -> expected returns,J15 -> G17,Labor and demographic economics,Financial economics,Cross-field boundary,0.44362860173461044,0.24504448787548308,0,54,54
trade liberalization -> less-confident households,F13 -> G59,International economics,Financial economics,Cross-field boundary,0.4411270061066243,0.2440351107744641,0,44,44
unions -> financial fragility,J51 -> G51,Labor and demographic economics,Financial economics,Cross-field boundary,0.43869430954205435,0.2394602678722248,0,46,46
financial literacy -> unemployment,G53 -> J64,Financial economics,Labor and demographic economics,Cross-field boundary,0.4366712487998451,0.24125891733148386,0,36,36
fertility -> mergers,J13 -> G34,Labor and demographic economics,Financial economics,Cross-field boundary,0.4359328941902438,0.23327338174605255,0,52,52
mergers -> home production,G34 -> D13,Financial economics,Microeconomics,Cross-field boundary,0.4338799591060412,0.23262345592254377,0,43,43
interest rates -> transparency,E43 -> G38,Macroeconomics and monetary economics,Financial economics,Cross-field gap,0.43317559232208946,0.3352491658997452,45,136,136
mergers -> high-skilled immigrants,G34 -> J61,Financial economics,Labor and demographic economics,Cross-field boundary,0.4325619141084013,0.23178017411932553,0,40,40
leverage -> industry concentration,G24 -> L69,Financial economics,Industrial organization,Cross-field boundary,0.43105133534321255,0.23034889024058666,0,36,36
increased immigration -> financial fragility,K37 -> G51,Law and economics,Financial economics,Cross-field boundary,0.43065572257674767,0.23058158992794545,0,34,34
trade liberalization -> expected returns,F13 -> G17,International economics,Financial economics,Cross-field gap,0.42972389493439983,0.2606820295828523,2,153,153
economic shocks -> financial fragility,F69 -> G51,International economics,Financial economics,Cross-field gap,0.428969377720861,0.33542682432706017,132,186,186
monetary policy -> mergers,E52 -> G34,Macroeconomics and monetary economics,Financial economics,Cross-field gap,0.42841509483760093,0.28984061950740014,8,131,131
financial stability -> employment,G28 -> J63,Financial economics,Labor and demographic economics,Cross-field gap,0.42737640540691624,0.28674746462075357,11,157,157
expected returns -> ethnic diversity,G17 -> J15,Financial economics,Labor and demographic economics,Cross-field boundary,0.4264177520640451,0.2230591284538552,0,37,37
transparency -> consumption,G38 -> E21,Financial economics,Macroeconomics and monetary economics,Cross-field gap,0.4259360745854262,0.29280032000044376,17,157,157
ai -> financial fragility,C45 -> G51,Mathematical and quantitative methods,Financial economics,Cross-field boundary,0.4256143111069712,0.22596054277653765,0,26,26
transparency -> home production,G38 -> D13,Financial economics,Microeconomics,Cross-field boundary,0.42538354959541824,0.22190236979493702,0,35,35
