opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
reputation -> distortions,L14 -> H31,Industrial organization,Public economics,Cross-field gap,0.46832004204280153,0.3835667131880918,76,208,208
public debt -> calibrated model,H63 -> C51,Public economics,Mathematical and quantitative methods,Cross-field gap,0.46618094262902016,0.37947993049807505,39,157,157
higher wages -> public debt,J31 -> H63,Labor and demographic economics,Public economics,Cross-field gap,0.45409277572872986,0.34309412602452605,17,160,160
public debt -> personalized medicine,H63 -> I11,Public economics,"Health, education, and welfare",Cross-field boundary,0.453131089208723,0.2592459132733995,0,58,58
trade -> public debt,F19 -> H63,International economics,Public economics,Cross-field gap,0.45286740313665524,0.3474981421041723,23,161,161
public debt -> market power,H63 -> L11,Public economics,Industrial organization,Cross-field gap,0.4513674825884599,0.3440287480550159,25,163,163
ethnic diversity -> public debt,J15 -> H63,Labor and demographic economics,Public economics,Cross-field boundary,0.44736920508307565,0.2511528699527238,0,56,56
public debt -> ethnic diversity,H63 -> J15,Public economics,Labor and demographic economics,Cross-field boundary,0.4413943014001126,0.24011233571480367,0,60,60
public debt -> home production,H63 -> D13,Public economics,Microeconomics,Cross-field boundary,0.43232331502359417,0.23268807971206562,0,37,37
public debt -> price discrimination,H63 -> D40,Public economics,Microeconomics,Cross-field gap,0.4304947905355766,0.30482154171971143,23,165,165
social security -> pollution,H55 -> Q53,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.429970869942088,0.2295045882411765,0,35,35
higher education -> public debt,I23 -> H63,"Health, education, and welfare",Public economics,Cross-field boundary,0.42966050758925556,0.22669070007336203,0,42,42
fiscal deficits -> entrepreneurial activity,H68 -> L26,Public economics,Industrial organization,Cross-field boundary,0.42688645832711514,0.22718628612034295,0,28,28
monetary policy -> social security,E52 -> H55,Macroeconomics and monetary economics,Public economics,Cross-field gap,0.42681437785498333,0.2918960066111301,9,124,124
public debt -> location choices,H63 -> R32,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4261307352504854,0.22369943593386418,0,34,34
investment subsidies -> family background,H25 -> J12,Public economics,Labor and demographic economics,Cross-field boundary,0.42594075868965053,0.22460064478215527,0,31,31
personalized medicine -> public debt,I11 -> H63,"Health, education, and welfare",Public economics,Cross-field boundary,0.4251992780096963,0.22209141895200218,0,34,34
emu -> corruption,F36 -> H57,International economics,Public economics,Cross-field boundary,0.42420653387088497,0.22178084024978337,0,31,31
public debt -> higher education,H63 -> I23,Public economics,"Health, education, and welfare",Cross-field boundary,0.42419894519532264,0.2201687801804208,0,35,35
public debt -> industry concentration,H63 -> L69,Public economics,Industrial organization,Cross-field boundary,0.4239224513350776,0.22011429080732017,0,34,34
ownership -> unemployment,H13 -> J64,Public economics,Labor and demographic economics,Cross-field boundary,0.4238272167379128,0.22069819652614717,0,32,32
fiscal policies -> mergers,H30 -> G34,Public economics,Financial economics,Cross-field boundary,0.42333321840249105,0.21982438492305037,0,32,32
trade liberalization -> public education,F13 -> H52,International economics,Public economics,Cross-field boundary,0.42300204359517746,0.2240677894575179,0,23,23
capital mobility -> discount factor,F20 -> H43,International economics,Public economics,Cross-field boundary,0.42293745667032867,0.22352786831647284,0,23,23
institutional quality -> covid-19 pandemic,L15 -> H12,Industrial organization,Public economics,Cross-field gap,0.4226871533190054,0.30924116744809205,68,190,190
property tax -> economic downturns,H71 -> E32,Public economics,Macroeconomics and monetary economics,Cross-field boundary,0.4220834821571834,0.21830563551327758,0,31,31
state policies -> innovation incentives,H79 -> O31,Public economics,"Economic development, innovation, and growth",Cross-field boundary,0.42158874518358813,0.21609445008156217,0,35,35
fiscal capacity -> innovation incentives,H39 -> O31,Public economics,"Economic development, innovation, and growth",Cross-field boundary,0.4215002124393639,0.21709339339015182,0,32,32
wicksellian rules -> borrowing costs,E12 -> H74,Macroeconomics and monetary economics,Public economics,Cross-field boundary,0.4214715226899721,0.2240916938374626,0,18,18
public investment -> centrality measures,H54 -> C10,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.4212068986940324,0.2155987742742784,0,35,35
public education -> exchange rates,H52 -> F31,Public economics,International economics,Cross-field boundary,0.42117034386438873,0.21690403979347259,0,31,31
tax policy -> conceptual artists,H29 -> Z11,Public economics,Other special topics,Cross-field boundary,0.42106011915746244,0.21844221601860084,0,27,27
competition -> fiscal deficits,L13 -> H68,Industrial organization,Public economics,Cross-field boundary,0.42098002442747323,0.22147171907034488,0,21,21
public education -> trade liberalization,H52 -> F13,Public economics,International economics,Cross-field boundary,0.42092669475418065,0.21584008892400539,0,33,33
public education -> city size,H52 -> R12,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.42001421858410204,0.21885911167751226,0,23,23
inflation forecasting targeting -> covid-19 pandemic,E47 -> H12,Macroeconomics and monetary economics,Public economics,Cross-field boundary,0.41985757896042275,0.22389282108690142,0,15,15
public education -> equity premium,H52 -> G12,Public economics,Financial economics,Cross-field boundary,0.4192315635808993,0.21570677875152752,0,27,27
globalization -> government revenue,F60 -> H27,International economics,Public economics,Cross-field boundary,0.4189248958098098,0.2149527230928639,0,28,28
unions -> government revenue,J51 -> H27,Labor and demographic economics,Public economics,Cross-field boundary,0.4186813208121,0.21386874937002853,0,29,29
government interventions -> higher domestic demand,H81 -> R22,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4185436075667796,0.21459670043228768,0,27,27
fiscal deficits -> tougher competition,H68 -> L19,Public economics,Industrial organization,Cross-field boundary,0.4185276702667673,0.21644503756677821,0,23,23
corruption -> emu,H57 -> F36,Public economics,International economics,Cross-field boundary,0.418377996642417,0.21510366492754573,0,25,25
corruption -> offshoring,H57 -> L24,Public economics,Industrial organization,Cross-field boundary,0.4180988914796646,0.21571109142049236,0,23,23
investment subsidies -> centrality measures,H25 -> C10,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.41800748589147896,0.2132897275970226,0,28,28
free riding -> price level,H40 -> E30,Public economics,Macroeconomics and monetary economics,Cross-field boundary,0.41789255642251055,0.21326953060056153,0,28,28
social security -> economic activity,H55 -> E29,Public economics,Macroeconomics and monetary economics,Cross-field boundary,0.4178476739465687,0.21644495957087034,0,21,21
exchange rates -> public education,F31 -> H52,International economics,Public economics,Cross-field boundary,0.4175081220709838,0.2165744178783663,0,20,20
home production -> public debt,D13 -> H63,Microeconomics,Public economics,Cross-field boundary,0.41713054393986204,0.21721775227021822,0,18,18
location choices -> public debt,R32 -> H63,"Urban, rural, and regional economics",Public economics,Cross-field boundary,0.4169924779355963,0.2173776694635249,0,18,18
cultural factors -> covid-19 pandemic,Z10 -> H12,Other special topics,Public economics,Cross-field boundary,0.4169247429531926,0.21501145624653997,0,21,21
subsidies -> conceptual artists,H20 -> Z11,Public economics,Other special topics,Cross-field boundary,0.41675568124281004,0.21362898725096086,0,23,23
social security -> oil prices,H55 -> L71,Public economics,Industrial organization,Cross-field boundary,0.41673792470336946,0.2149096981672911,0,21,21
corruption -> immigration,H57 -> F22,Public economics,International economics,Cross-field boundary,0.41673031005985056,0.21097743565256355,0,29,29
public debt -> gender,H63 -> J16,Public economics,Labor and demographic economics,Cross-field boundary,0.41670369613470204,0.21218552073885813,0,26,26
immigration -> budget rules,F22 -> H61,International economics,Public economics,Cross-field boundary,0.4166011047758422,0.21511213257759715,0,20,20
monetary expansion -> social security,E59 -> H55,Macroeconomics and monetary economics,Public economics,Cross-field boundary,0.4166009601073187,0.2196427626923899,0,14,14
gender -> public debt,J16 -> H63,Labor and demographic economics,Public economics,Cross-field boundary,0.41629916325112193,0.2134029627233019,0,22,22
discount factor -> unions,H43 -> J51,Public economics,Labor and demographic economics,Cross-field boundary,0.41622089379366645,0.2106007854905545,0,28,28
deadweight loss -> conceptual artists,H21 -> Z11,Public economics,Other special topics,Cross-field boundary,0.4161801040505665,0.21229891966710415,0,24,24
anticipated ramsey reforms -> economic output,H00 -> E23,Public economics,Macroeconomics and monetary economics,Cross-field boundary,0.41613565457955,0.21629737634170998,0,17,17
state policies -> international cooperation,H79 -> F53,Public economics,International economics,Cross-field boundary,0.4160939857664039,0.21121049872942949,0,26,26
gender -> increase in public debt,J16 -> H69,Labor and demographic economics,Public economics,Cross-field boundary,0.41605422917975154,0.21304513247089285,0,22,22
public debt -> firm location decisions,H63 -> R30,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4158673987909094,0.2122268587034656,0,23,23
ownership -> average productivity,H13 -> O47,Public economics,"Economic development, innovation, and growth",Cross-field boundary,0.41564253747690916,0.2137629894663895,0,20,20
labor force participation -> government revenue,J21 -> H27,Labor and demographic economics,Public economics,Cross-field boundary,0.41561823600466036,0.2123331512331185,0,22,22
wicksellian rules -> discount factor,E12 -> H43,Macroeconomics and monetary economics,Public economics,Cross-field boundary,0.4155948244259764,0.21557721138790678,0,17,17
entrepreneurial activity -> fiscal deficits,L26 -> H68,Industrial organization,Public economics,Cross-field boundary,0.41521436617905827,0.21482701746583147,0,17,17
subsidies -> predation,H20 -> Q57,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.4151999599470184,0.21032557702676483,0,25,25
unions -> discount factor,J51 -> H43,Labor and demographic economics,Public economics,Cross-field boundary,0.41510287251407063,0.21156852024133463,0,22,22
public education -> mergers,H52 -> G34,Public economics,Financial economics,Cross-field boundary,0.4150603634504525,0.21101384095905681,0,23,23
public education -> nash equilibrium,H52 -> C72,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.41504862640326334,0.21155998814539367,0,22,22
immigration -> corruption,F22 -> H57,International economics,Public economics,Cross-field boundary,0.4149992149220847,0.2115714310924499,0,22,22
government behavior -> aggregate demand,H10 -> E00,Public economics,Macroeconomics and monetary economics,Cross-field boundary,0.41492085351914443,0.2124809489040371,0,20,20
public debt -> trade,H63 -> F19,Public economics,International economics,Cross-field gap,0.41489608249439947,0.277485286937987,23,173,173
industry concentration -> public debt,L69 -> H63,Industrial organization,Public economics,Cross-field boundary,0.4148894219686833,0.2140423108846326,0,18,18
patents -> increase in public debt,O34 -> H69,"Economic development, innovation, and growth",Public economics,Cross-field boundary,0.4147902817607178,0.21278388818908836,0,19,19
investment subsidies -> selection effect,H25 -> C24,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.41465960412876357,0.21096228102641681,0,22,22
excess burden -> economic downturns,H22 -> F44,Public economics,International economics,Cross-field boundary,0.4143967276017045,0.21167966163782215,0,20,20
unions -> budget deficits,J51 -> H62,Labor and demographic economics,Public economics,Cross-field boundary,0.4143134065611958,0.21091987277508362,0,21,21
conceptual artists -> deadweight loss,Z11 -> H21,Other special topics,Public economics,Cross-field boundary,0.41428320217026976,0.21393412421855806,0,16,16
local government decisions -> market efficiency,H70 -> G14,Public economics,Financial economics,Cross-field boundary,0.4141590686821772,0.20969297306260803,0,23,23
fiscal deficits -> competition,H68 -> L13,Public economics,Industrial organization,Cross-field boundary,0.4141203257796088,0.20963955717066168,0,23,23
social security -> sentiments,H55 -> A13,Public economics,General economics and teaching,Cross-field boundary,0.41406130418890486,0.21237292374170255,0,18,18
investment subsidies -> legal reform,H25 -> K41,Public economics,Law and economics,Cross-field boundary,0.41405434333906044,0.20957424312010484,0,23,23
property tax -> job creation,H71 -> J23,Public economics,Labor and demographic economics,Cross-field boundary,0.413941951453332,0.21149752380721545,0,19,19
pollution -> social security,Q53 -> H55,"Agriculture, natural resources, and environment",Public economics,Cross-field boundary,0.4139295538969755,0.21355701324388138,0,16,16
gender -> government revenue,J16 -> H27,Labor and demographic economics,Public economics,Cross-field boundary,0.41390871334905144,0.21085859146960212,0,20,20
financial constraints -> climate change,H60 -> Q54,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.41383374621028624,0.21075575591086773,0,20,20
public investment -> forecast targeting,H54 -> C53,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.4138146081169698,0.20915206574135276,0,23,23
oil prices -> social security,L71 -> H55,Industrial organization,Public economics,Cross-field boundary,0.41377589585716706,0.2113112695345378,0,19,19
mergers -> fiscal policies,G34 -> H30,Financial economics,Public economics,Cross-field boundary,0.41377541335430845,0.2125418190647208,0,17,17
investment subsidies -> labor force participation,H25 -> J21,Public economics,Labor and demographic economics,Cross-field boundary,0.41364153772942325,0.20938500263620002,0,22,22
tax competition -> conceptual artists,H26 -> Z11,Public economics,Other special topics,Cross-field boundary,0.4135659301695985,0.21039834471415456,0,20,20
fiscal capacity -> higher education,H39 -> I23,Public economics,"Health, education, and welfare",Cross-field boundary,0.4135571511633409,0.20924710075458655,0,22,22
public investment -> unions,H54 -> J51,Public economics,Labor and demographic economics,Cross-field boundary,0.41352108488078365,0.21030206241426405,0,20,20
auction outcomes -> public education,D44 -> H52,Microeconomics,Public economics,Cross-field boundary,0.41351435038265744,0.21155490266296625,0,18,18
state policies -> economic integration,H79 -> F15,Public economics,International economics,Cross-field boundary,0.41343505041118883,0.2091108905068936,0,22,22
media freedom -> government spending,L82 -> H59,Industrial organization,Public economics,Cross-field boundary,0.4134348746007979,0.2130612169404051,0,16,16
budget deficits -> entrepreneurship,H62 -> M13,Public economics,Business administration and business economics,Cross-field boundary,0.4132483213970139,0.21109714499644713,0,18,18
public debt -> early entry agreements,H63 -> Z22,Public economics,Other special topics,Cross-field boundary,0.41323056222621407,0.21045491275500205,0,19,19
media freedom -> social security,L82 -> H55,Industrial organization,Public economics,Cross-field boundary,0.41318566767179066,0.21433651987255337,0,14,14
public drug insurance -> housing prices,H51 -> R31,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4131762847969969,0.21094833763116413,0,18,18
budget rules -> immigration,H61 -> F22,Public economics,International economics,Cross-field boundary,0.4131290083823874,0.20914256154414054,0,21,21
ownership -> immigration,H13 -> F22,Public economics,International economics,Cross-field boundary,0.41308325389151,0.20905811577996378,0,21,21
capital taxation -> collusive behavior,H24 -> D26,Public economics,Microeconomics,Cross-field boundary,0.41304496891109255,0.20850367404897174,0,22,22
public education -> majority rule,H52 -> D71,Public economics,Microeconomics,Cross-field boundary,0.4130116864269663,0.2090056821258044,0,21,21
mergers -> public education,G34 -> H52,Financial economics,Public economics,Cross-field boundary,0.4129343785060366,0.2115642099399398,0,17,17
borrowing costs -> pollution,H74 -> Q53,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.41285046215351384,0.20985239676628564,0,19,19
public debt -> economic health,H63 -> I10,Public economics,"Health, education, and welfare",Cross-field boundary,0.4128094926941955,0.21042382096677878,0,18,18
budget deficits -> unions,H62 -> J51,Public economics,Labor and demographic economics,Cross-field boundary,0.4128066930345715,0.20979250774388516,0,19,19
social security -> conceptual artists,H55 -> Z11,Public economics,Other special topics,Cross-field boundary,0.41278153652857935,0.21111089785812565,0,17,17
anticipated ramsey reforms -> market power,H00 -> L11,Public economics,Industrial organization,Cross-field boundary,0.41273602291590056,0.21235609650977605,0,15,15
subsidies -> monetary policy,H20 -> E52,Public economics,Macroeconomics and monetary economics,Cross-field gap,0.41270654624869463,0.27801208432693914,23,158,158
property tax -> firm behavior,H71 -> D21,Public economics,Microeconomics,Cross-field boundary,0.41262745152534025,0.20956085550324968,0,19,19
capital taxation -> horizontal mergers,H24 -> L41,Public economics,Industrial organization,Cross-field boundary,0.4126273200097301,0.21136399602169745,0,16,16
local government decisions -> protection,H70 -> D18,Public economics,Microeconomics,Cross-field boundary,0.4126147748057377,0.20786067347196485,0,22,22
borrowing costs -> wicksellian rules,H74 -> E12,Public economics,Macroeconomics and monetary economics,Cross-field boundary,0.41259107274942963,0.21311366878307594,0,14,14
offshoring -> corruption,L24 -> H57,Industrial organization,Public economics,Cross-field boundary,0.4125176193866717,0.20931245296743037,0,19,19
fiscal policies -> legal reform,H30 -> K41,Public economics,Law and economics,Cross-field boundary,0.4124473743871909,0.20931170924187206,0,19,19
public debt -> conceptual artists,H63 -> Z11,Public economics,Other special topics,Cross-field boundary,0.4124433744626477,0.20862872951042538,0,20,20
fiscal transfers -> labor force participation,H87 -> J21,Public economics,Labor and demographic economics,Cross-field boundary,0.4123052856346739,0.20844561624847976,0,20,20
property tax -> risk aversion,H71 -> D81,Public economics,Microeconomics,Cross-field boundary,0.41226960447404876,0.20839697389716297,0,20,20
public debt -> commuting costs,H63 -> R48,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4122147375530881,0.2094233275138191,0,18,18
financial constraints -> legal reform,H60 -> K41,Public economics,Law and economics,Cross-field boundary,0.4120893107576109,0.21076294530672884,0,16,16
corruption -> labor force participation,H57 -> J21,Public economics,Labor and demographic economics,Cross-field boundary,0.4120086810522112,0.20854619204886396,0,19,19
social security -> sustainability of collusion,H55 -> K21,Public economics,Law and economics,Cross-field boundary,0.41200743294145786,0.20917014184016003,0,18,18
property tax -> qe,H71 -> C22,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.41190573033038397,0.2083744888294137,0,19,19
borrowing costs -> home production,H74 -> D13,Public economics,Microeconomics,Cross-field boundary,0.41189970689523114,0.21039904734077003,0,16,16
city size -> public education,R12 -> H52,"Urban, rural, and regional economics",Public economics,Cross-field boundary,0.41186630506511485,0.21265415247998662,0,13,13
fiscal deficits -> personalized medicine,H68 -> I11,Public economics,"Health, education, and welfare",Cross-field boundary,0.41185803299814505,0.20953127037495306,0,17,17
decentralization -> health capital,H77 -> I15,Public economics,"Health, education, and welfare",Cross-field boundary,0.41183831525358483,0.2108756977258678,0,15,15
fiscal transfers -> home production,H87 -> D13,Public economics,Microeconomics,Cross-field boundary,0.411766662839026,0.21018859274290394,0,16,16
inflation forecasting targeting -> increase in public debt,E47 -> H69,Macroeconomics and monetary economics,Public economics,Cross-field boundary,0.4117519012317339,0.21701345685755738,0,9,9
corruption -> causal identification,H57 -> C32,Public economics,Mathematical and quantitative methods,Cross-field boundary,0.41173013608547315,0.2081311049949754,0,19,19
