opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
inflation -> human capital,E31 -> J24,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field gap,0.6091234328587036,0.5990399201148966,27,225,225
exchange rates -> human capital,F31 -> J24,International economics,Labor and demographic economics,Cross-field gap,0.6017220979445034,0.5604891996041255,7,219,219
exchange rates -> job creation,F31 -> J23,International economics,Labor and demographic economics,Cross-field gap,0.545333108665762,0.511589509521158,42,170,170
human capital -> exchange rates,J24 -> F31,Labor and demographic economics,International economics,Cross-field gap,0.5353099274819718,0.45406691148155087,7,205,205
firm value -> unemployment,G32 -> J64,Financial economics,Labor and demographic economics,Cross-field gap,0.5212468461011268,0.45008672846733977,19,191,191
demographic changes -> exchange rates,J11 -> F31,Labor and demographic economics,International economics,Cross-field gap,0.4634395606280003,0.33294786139461574,6,182,182
mergers -> fertility,G34 -> J13,Financial economics,Labor and demographic economics,Cross-field boundary,0.4591285924046646,0.2689186151289111,0,57,57
fdi -> fertility,F23 -> J13,International economics,Labor and demographic economics,Cross-field boundary,0.4581913984250716,0.268300491790645,0,57,57
age -> terms of trade,J14 -> F14,Labor and demographic economics,International economics,Cross-field boundary,0.45450179336872193,0.26117926518931567,0,61,61
limited liability -> human capital,K13 -> J24,Law and economics,Labor and demographic economics,Cross-field boundary,0.45428200603048163,0.25883761122280363,0,64,64
higher wages -> public debt,J31 -> H63,Labor and demographic economics,Public economics,Cross-field gap,0.45409277572872986,0.34309412602452605,17,160,160
patents -> unemployment,O34 -> J64,"Economic development, innovation, and growth",Labor and demographic economics,Cross-field boundary,0.45160645608704203,0.2583024374866058,0,52,52
emu -> life expectancy,F36 -> J17,International economics,Labor and demographic economics,Cross-field boundary,0.44801424853887517,0.2532867479690263,0,50,50
ethnic diversity -> public debt,J15 -> H63,Labor and demographic economics,Public economics,Cross-field boundary,0.44736920508307565,0.2511528699527238,0,56,56
fertility -> fdi,J13 -> F23,Labor and demographic economics,International economics,Cross-field boundary,0.4468119109581596,0.2487042734508959,0,62,62
human capital -> moral hazard,J24 -> G52,Labor and demographic economics,Financial economics,Cross-field gap,0.4461469080267677,0.34195605211161784,61,201,201
limited liability -> unemployment,K13 -> J64,Law and economics,Labor and demographic economics,Cross-field boundary,0.4450865866478685,0.24688789932156696,0,54,54
ethnic diversity -> expected returns,J15 -> G17,Labor and demographic economics,Financial economics,Cross-field boundary,0.44362860173461044,0.24504448787548308,0,54,54
vertical integration -> fertility,L22 -> J13,Industrial organization,Labor and demographic economics,Cross-field boundary,0.4422684036824366,0.24672774150051624,0,42,42
public debt -> ethnic diversity,H63 -> J15,Public economics,Labor and demographic economics,Cross-field boundary,0.4413943014001126,0.24011233571480367,0,60,60
fixed exchange rate regime -> labor supply,F33 -> J22,International economics,Labor and demographic economics,Cross-field boundary,0.4412346796385813,0.24022108250779511,0,58,58
limited liability -> labor supply,K13 -> J22,Law and economics,Labor and demographic economics,Cross-field boundary,0.4388553675124152,0.24001997893714988,0,44,44
unions -> financial fragility,J51 -> G51,Labor and demographic economics,Financial economics,Cross-field boundary,0.43869430954205435,0.2394602678722248,0,46,46
age -> trade liberalization,J14 -> F13,Labor and demographic economics,International economics,Cross-field boundary,0.4378118292332258,0.2392204330291617,0,44,44
central bank independence -> high-skilled immigrants,E58 -> J61,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field boundary,0.43772959110639104,0.24050750279149946,0,39,39
interest rates -> gender,E43 -> J16,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field boundary,0.43772791292402374,0.23774140475477812,0,47,47
financial literacy -> unemployment,G53 -> J64,Financial economics,Labor and demographic economics,Cross-field boundary,0.4366712487998451,0.24125891733148386,0,36,36
fertility -> mergers,J13 -> G34,Labor and demographic economics,Financial economics,Cross-field boundary,0.4359328941902438,0.23327338174605255,0,52,52
emu -> efficiency wages,F36 -> J33,International economics,Labor and demographic economics,Cross-field boundary,0.4358778125384903,0.233675163629771,0,50,50
mergers -> high-skilled immigrants,G34 -> J61,Financial economics,Labor and demographic economics,Cross-field boundary,0.4325619141084013,0.23178017411932553,0,40,40
limited liability -> family background,K13 -> J12,Law and economics,Labor and demographic economics,Cross-field boundary,0.4309168568148395,0.23074297981101602,0,35,35
human capital -> economic stability,J24 -> E63,Labor and demographic economics,Macroeconomics and monetary economics,Cross-field gap,0.4301793765813998,0.3157320602753296,40,183,183
exchange rates -> gender,F31 -> J16,International economics,Labor and demographic economics,Cross-field boundary,0.42976277618012626,0.2279881771198146,0,38,38
limited liability -> statistical discrimination,K13 -> J79,Law and economics,Labor and demographic economics,Cross-field boundary,0.4289766367501444,0.22679464913686773,0,37,37
gender -> exchange rates,J16 -> F31,Labor and demographic economics,International economics,Cross-field boundary,0.42894293671681344,0.22747703870155506,0,35,35
financial stability -> employment,G28 -> J63,Financial economics,Labor and demographic economics,Cross-field gap,0.42737640540691624,0.28674746462075357,11,157,157
monetary policy -> gender,E52 -> J16,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field boundary,0.42674722780502855,0.22647688652801676,0,29,29
expected returns -> ethnic diversity,G17 -> J15,Financial economics,Labor and demographic economics,Cross-field boundary,0.4264177520640451,0.2230591284538552,0,37,37
investment subsidies -> family background,H25 -> J12,Public economics,Labor and demographic economics,Cross-field boundary,0.42594075868965053,0.22460064478215527,0,31,31
fertility -> vertical integration,J13 -> L22,Labor and demographic economics,Industrial organization,Cross-field boundary,0.425341948115856,0.22170671799358135,0,36,36
gender -> interest rates,J16 -> E43,Labor and demographic economics,Macroeconomics and monetary economics,Cross-field boundary,0.4245816531735449,0.2210145360461031,0,34,34
unions -> increased immigration,J51 -> K37,Labor and demographic economics,Law and economics,Cross-field boundary,0.42455314836148295,0.22513135779141777,0,25,25
financial stability -> high-skilled immigrants,G28 -> J61,Financial economics,Labor and demographic economics,Cross-field boundary,0.42418302330077934,0.22073943668571053,0,34,34
central bank independence -> labor force participation,E58 -> J21,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field boundary,0.42413097784711123,0.22330606871886177,0,27,27
ownership -> unemployment,H13 -> J64,Public economics,Labor and demographic economics,Cross-field boundary,0.4238272167379128,0.22069819652614717,0,32,32
fixed exchange rate regime -> labor supply,F33 -> J20,International economics,Labor and demographic economics,Cross-field boundary,0.4237682991244357,0.22172981067047187,0,30,30
age -> price level,J14 -> E30,Labor and demographic economics,Macroeconomics and monetary economics,Cross-field boundary,0.42366999436961317,0.22170578850773237,0,29,29
unions -> leverage,J51 -> G24,Labor and demographic economics,Financial economics,Cross-field boundary,0.42354452417678623,0.22021342138199732,0,32,32
trade liberalization -> age,F13 -> J14,International economics,Labor and demographic economics,Cross-field boundary,0.42354332749583723,0.22145646355003612,0,29,29
human capital -> limited liability,J24 -> K13,Labor and demographic economics,Law and economics,Cross-field boundary,0.42331846426532155,0.2203033088384016,0,31,31
efficiency wages -> emu,J33 -> F36,Labor and demographic economics,International economics,Cross-field boundary,0.42331668978220893,0.22011513593509008,0,32,32
patents -> minimum wage,O34 -> J38,"Economic development, innovation, and growth",Labor and demographic economics,Cross-field boundary,0.42275194940281147,0.22103173033381943,0,27,27
banks -> higher dependency ratio,G21 -> J19,Financial economics,Labor and demographic economics,Cross-field boundary,0.4227342252405534,0.21974353885656575,0,30,30
limited liability -> ethnic diversity,K13 -> J15,Law and economics,Labor and demographic economics,Cross-field boundary,0.4226903488950683,0.22001458635724783,0,29,29
deregulation -> labor force participation,L51 -> J21,Industrial organization,Labor and demographic economics,Cross-field boundary,0.42240184051916313,0.22015386153451005,0,28,28
