opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
limited liability -> human capital,K13 -> J24,Law and economics,Labor and demographic economics,Cross-field boundary,0.45428200603048163,0.25883761122280363,0,64,64
limited liability -> unemployment,K13 -> J64,Law and economics,Labor and demographic economics,Cross-field boundary,0.4450865866478685,0.24688789932156696,0,54,54
legal reform -> growth,K41 -> O40,Law and economics,"Economic development, innovation, and growth",Cross-field boundary,0.4404752383210124,0.24205341341811765,0,46,46
limited liability -> labor supply,K13 -> J22,Law and economics,Labor and demographic economics,Cross-field boundary,0.4388553675124152,0.24001997893714988,0,44,44
limited liability -> monetary policy,K13 -> E52,Law and economics,Macroeconomics and monetary economics,Cross-field boundary,0.4387930216232418,0.2419363545047799,0,38,38
limited liability -> educational attainment,K13 -> I21,Law and economics,"Health, education, and welfare",Cross-field boundary,0.4351878219706976,0.23489170095454795,0,42,42
limited liability -> family background,K13 -> J12,Law and economics,Labor and demographic economics,Cross-field boundary,0.4309168568148395,0.23074297981101602,0,35,35
increased immigration -> financial fragility,K37 -> G51,Law and economics,Financial economics,Cross-field boundary,0.43065572257674767,0.23058158992794545,0,34,34
legal reform -> income,K41 -> E25,Law and economics,Macroeconomics and monetary economics,Cross-field boundary,0.429199227112699,0.22725816943215182,0,37,37
limited liability -> statistical discrimination,K13 -> J79,Law and economics,Labor and demographic economics,Cross-field boundary,0.4289766367501444,0.22679464913686773,0,37,37
corporate income tax -> asymmetric information,K34 -> D82,Law and economics,Microeconomics,Cross-field boundary,0.42736810307029816,0.22982326753227408,0,24,24
limited liability -> macroeconomic stability,K13 -> E60,Law and economics,Macroeconomics and monetary economics,Cross-field boundary,0.4271460417962226,0.2245955688614024,0,35,35
asymmetric information -> increased immigration,D82 -> K37,Microeconomics,Law and economics,Cross-field boundary,0.4270695104179517,0.22669002400506655,0,30,30
unions -> increased immigration,J51 -> K37,Labor and demographic economics,Law and economics,Cross-field boundary,0.42455314836148295,0.22513135779141777,0,25,25
electoral outcomes -> aggregate demand,K16 -> E00,Law and economics,Macroeconomics and monetary economics,Cross-field boundary,0.4237049045788195,0.2221617238781997,0,28,28
human capital -> limited liability,J24 -> K13,Labor and demographic economics,Law and economics,Cross-field boundary,0.42331846426532155,0.2203033088384016,0,31,31
increased immigration -> asymmetric information,K37 -> D82,Law and economics,Microeconomics,Cross-field boundary,0.4227163513090061,0.21978643442258827,0,30,30
limited liability -> ethnic diversity,K13 -> J15,Law and economics,Labor and demographic economics,Cross-field boundary,0.4226903488950683,0.22001458635724783,0,29,29
increased immigration -> expected returns,K37 -> G17,Law and economics,Financial economics,Cross-field boundary,0.42245587833895176,0.21905983373873472,0,31,31
central bank independence -> increased immigration,E58 -> K37,Macroeconomics and monetary economics,Law and economics,Cross-field boundary,0.42233310467980534,0.22158240820265104,0,25,25
increased immigration -> gender,K37 -> J16,Law and economics,Labor and demographic economics,Cross-field boundary,0.42232312945906936,0.22193807957379216,0,24,24
monetary policy -> limited liability,E52 -> K13,Macroeconomics and monetary economics,Law and economics,Cross-field boundary,0.42204722392903427,0.22240458010745118,0,22,22
increased immigration -> bureaucracy,K37 -> D73,Law and economics,Microeconomics,Cross-field boundary,0.4218507905837782,0.21806955455353652,0,31,31
corporate income tax -> technological progress,K34 -> O39,Law and economics,"Economic development, innovation, and growth",Cross-field boundary,0.42154247668381556,0.22276749949772223,0,20,20
regulatory competition -> exchange rates,K20 -> F31,Law and economics,International economics,Cross-field boundary,0.42127793567669186,0.22029194247267816,0,24,24
financial fragility -> increased immigration,G51 -> K37,Financial economics,Law and economics,Cross-field boundary,0.4205219591164363,0.21902892092455747,0,24,24
counterfeiting -> aggregate demand,K42 -> E00,Law and economics,Macroeconomics and monetary economics,Cross-field boundary,0.4202973585949003,0.21827982009486965,0,25,25
