opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
financial instability -> market power,F65 -> L11,International economics,Industrial organization,Cross-field gap,0.4782957172706165,0.4130684457173618,76,169,169
reputation -> distortions,L14 -> H31,Industrial organization,Public economics,Cross-field gap,0.46832004204280153,0.3835667131880918,76,208,208
institutional quality -> precautionary savings,L15 -> D14,Industrial organization,Microeconomics,Cross-field gap,0.4681121833980608,0.37285678337937994,44,203,203
borrowing constraints -> institutional quality,F34 -> L15,International economics,Industrial organization,Cross-field gap,0.45925049878418767,0.3586704289435969,37,187,187
public debt -> market power,H63 -> L11,Public economics,Industrial organization,Cross-field gap,0.4513674825884599,0.3440287480550159,25,163,163
competition -> consumption,L13 -> E21,Industrial organization,Macroeconomics and monetary economics,Cross-field gap,0.445716372457194,0.32429690763974717,18,162,162
vertical integration -> fertility,L22 -> J13,Industrial organization,Labor and demographic economics,Cross-field boundary,0.4422684036824366,0.24672774150051624,0,42,42
market power -> qe,L11 -> C22,Industrial organization,Mathematical and quantitative methods,Cross-field gap,0.43657900507884867,0.33828780301737243,85,181,181
emu -> seller revenue,F36 -> L85,International economics,Industrial organization,Cross-field boundary,0.43305417403328633,0.23216793075188627,0,40,40
leverage -> industry concentration,G24 -> L69,Financial economics,Industrial organization,Cross-field boundary,0.43105133534321255,0.23034889024058666,0,36,36
inflation -> entrepreneurial activity,E31 -> L26,Macroeconomics and monetary economics,Industrial organization,Cross-field gap,0.4286832114431553,0.30191306561914866,19,139,139
fiscal deficits -> entrepreneurial activity,H68 -> L26,Public economics,Industrial organization,Cross-field boundary,0.42688645832711514,0.22718628612034295,0,28,28
competition -> economic stability,L13 -> E63,Industrial organization,Macroeconomics and monetary economics,Cross-field gap,0.4259560686211201,0.3026609550439875,27,162,162
fertility -> vertical integration,J13 -> L22,Labor and demographic economics,Industrial organization,Cross-field boundary,0.425341948115856,0.22170671799358135,0,36,36
offshoring -> financial fragility,L24 -> G51,Industrial organization,Financial economics,Cross-field boundary,0.4246601995584047,0.22197626980083565,0,32,32
central bank independence -> industry concentration,E58 -> L69,Macroeconomics and monetary economics,Industrial organization,Cross-field boundary,0.42419047462496434,0.22165365827862535,0,31,31
public debt -> industry concentration,H63 -> L69,Public economics,Industrial organization,Cross-field boundary,0.4239224513350776,0.22011429080732017,0,34,34
blockchain technology -> industry concentration,E42 -> L69,Macroeconomics and monetary economics,Industrial organization,Cross-field boundary,0.42374478619843786,0.21991097999695955,0,34,34
offshoring -> distance to jobs,L24 -> R23,Industrial organization,"Urban, rural, and regional economics",Cross-field boundary,0.42308594208512795,0.22243242891241555,0,25,25
altruism -> structural transformation,D64 -> L16,Microeconomics,Industrial organization,Cross-field boundary,0.42285053229805336,0.22000528959520627,0,30,30
seller revenue -> emu,L85 -> F36,Industrial organization,International economics,Cross-field boundary,0.42276793487440634,0.2216673594130349,0,26,26
financial stability -> industry concentration,G28 -> L69,Financial economics,Industrial organization,Cross-field boundary,0.4226926633271306,0.21928917553717564,0,31,31
institutional quality -> covid-19 pandemic,L15 -> H12,Industrial organization,Public economics,Cross-field gap,0.4226871533190054,0.30924116744809205,68,190,190
deregulation -> labor force participation,L51 -> J21,Industrial organization,Labor and demographic economics,Cross-field boundary,0.42240184051916313,0.22015386153451005,0,28,28
competition -> fiscal deficits,L13 -> H68,Industrial organization,Public economics,Cross-field boundary,0.42098002442747323,0.22147171907034488,0,21,21
antidumping measures -> entrepreneurial activity,F18 -> L26,International economics,Industrial organization,Cross-field boundary,0.42080653766881665,0.2195662735434529,0,24,24
vertical integration -> unemployment,L22 -> J64,Industrial organization,Labor and demographic economics,Cross-field gap,0.4205703522654251,0.22925039125317895,1,99,99
offshoring -> demand shocks,L24 -> E39,Industrial organization,Macroeconomics and monetary economics,Cross-field boundary,0.4201620504891123,0.21796974512195874,0,25,25
offshoring -> labor force participation,L24 -> J21,Industrial organization,Labor and demographic economics,Cross-field boundary,0.42002134722451034,0.2206449597771211,0,20,20
entrepreneurial activity -> inflation,L26 -> E31,Industrial organization,Macroeconomics and monetary economics,Cross-field gap,0.4200195895854879,0.2896503999095156,19,131,131
profitability -> consumption,L21 -> E21,Industrial organization,Macroeconomics and monetary economics,Cross-field gap,0.41983356092546736,0.3031125775454441,52,167,167
media freedom -> exchange rates,L82 -> F31,Industrial organization,International economics,Cross-field boundary,0.4196357392492634,0.21765576993340569,0,24,24
offshoring -> market stability,L24 -> D53,Industrial organization,Microeconomics,Cross-field boundary,0.41869859687370703,0.21517283680774127,0,26,26
altruism -> offshoring,D64 -> L24,Microeconomics,Industrial organization,Cross-field boundary,0.41865758561709626,0.21608794461034095,0,24,24
transport costs -> equity premium,L91 -> G12,Industrial organization,Financial economics,Cross-field boundary,0.41860590361222316,0.21555846614575966,0,25,25
fiscal deficits -> tougher competition,H68 -> L19,Public economics,Industrial organization,Cross-field boundary,0.4185276702667673,0.21644503756677821,0,23,23
media freedom -> fiscal policy,L82 -> E62,Industrial organization,Macroeconomics and monetary economics,Cross-field boundary,0.4185178717841515,0.22046423574508137,0,17,17
offshoring -> personalized medicine,L24 -> I11,Industrial organization,"Health, education, and welfare",Cross-field boundary,0.41848667656658667,0.2153426509724459,0,25,25
retailer integration -> inequality,L81 -> D63,Industrial organization,Microeconomics,Cross-field boundary,0.4182551223497334,0.21456844235760966,0,26,26
corruption -> offshoring,H57 -> L24,Public economics,Industrial organization,Cross-field boundary,0.4180988914796646,0.21571109142049236,0,23,23
climate change -> monopoly power,Q54 -> L12,"Agriculture, natural resources, and environment",Industrial organization,Cross-field boundary,0.4177439989779551,0.21519033103028995,0,23,23
offshoring -> altruism,L24 -> D64,Industrial organization,Microeconomics,Cross-field boundary,0.4173554174539208,0.2135480711504556,0,25,25
media freedom -> weak institutions,L82 -> O17,Industrial organization,"Economic development, innovation, and growth",Cross-field boundary,0.4168978057980606,0.21982991196935125,0,15,15
social security -> oil prices,H55 -> L71,Public economics,Industrial organization,Cross-field boundary,0.41673792470336946,0.2149096981672911,0,21,21
media freedom -> equilibrium outcomes,L82 -> D51,Industrial organization,Microeconomics,Cross-field boundary,0.41672166902028424,0.21678952093192697,0,18,18
vertical integration -> increased immigration,L22 -> K37,Industrial organization,Law and economics,Cross-field boundary,0.415728454998452,0.21257061891704743,0,22,22
stricter roos -> average productivity,L42 -> O47,Industrial organization,"Economic development, innovation, and growth",Cross-field boundary,0.4154717078530756,0.2145020556039826,0,18,18
personalized medicine -> offshoring,I11 -> L24,"Health, education, and welfare",Industrial organization,Cross-field boundary,0.4153842766403206,0.2106077135383774,0,25,25
vertical integration -> conceptual artists,L22 -> Z11,Industrial organization,Other special topics,Cross-field boundary,0.41536350514644194,0.21318490686207014,0,20,20
media freedom -> firm behavior,L82 -> D21,Industrial organization,Microeconomics,Cross-field boundary,0.4153143998436815,0.21246752725107002,0,21,21
entrepreneurial activity -> fiscal deficits,L26 -> H68,Industrial organization,Public economics,Cross-field boundary,0.41521436617905827,0.21482701746583147,0,17,17
scc -> less-confident households,L96 -> G59,Industrial organization,Financial economics,Cross-field boundary,0.4151580665593746,0.21412505561854456,0,18,18
age -> state competition,J14 -> L49,Labor and demographic economics,Industrial organization,Cross-field boundary,0.41496331132169595,0.2126010263474488,0,20,20
industry concentration -> public debt,L69 -> H63,Industrial organization,Public economics,Cross-field boundary,0.4148894219686833,0.2140423108846326,0,18,18
overruling -> heterogeneity,L43 -> D29,Industrial organization,Microeconomics,Cross-field boundary,0.414827216856505,0.21170817539098255,0,21,21
transport costs -> investor behavior,L91 -> G41,Industrial organization,Financial economics,Cross-field boundary,0.4147116892902986,0.2121156567130409,0,20,20
state competition -> home production,L49 -> D13,Industrial organization,Microeconomics,Cross-field boundary,0.4145984625393801,0.21083542028085087,0,22,22
blockchain technology -> number of firms,E42 -> L20,Macroeconomics and monetary economics,Industrial organization,Cross-field boundary,0.4144077746924644,0.21108047040708866,0,21,21
media freedom -> human capital,L82 -> J24,Industrial organization,Labor and demographic economics,Cross-field boundary,0.41425449890827243,0.2113893490582046,0,20,20
privatization -> demand shocks,L33 -> E39,Industrial organization,Macroeconomics and monetary economics,Cross-field boundary,0.41422561797871443,0.21249644739925813,0,18,18
fiscal deficits -> competition,H68 -> L13,Public economics,Industrial organization,Cross-field boundary,0.4141203257796088,0.20963955717066168,0,23,23
offshoring -> gender,L24 -> J16,Industrial organization,Labor and demographic economics,Cross-field boundary,0.4139117326518898,0.21225712078608336,0,18,18
interest rates -> gaming,E43 -> L83,Macroeconomics and monetary economics,Industrial organization,Cross-field boundary,0.41379800805039046,0.21323988977918598,0,16,16
oil prices -> social security,L71 -> H55,Industrial organization,Public economics,Cross-field boundary,0.41377589585716706,0.2113112695345378,0,19,19
gaming -> inflation,L83 -> E31,Industrial organization,Macroeconomics and monetary economics,Cross-field boundary,0.4135344264191073,0.2114952834154224,0,18,18
media freedom -> government spending,L82 -> H59,Industrial organization,Public economics,Cross-field boundary,0.4134348746007979,0.2130612169404051,0,16,16
financial intermediaries -> industry concentration,G23 -> L69,Financial economics,Industrial organization,Cross-field boundary,0.4132762500978393,0.2105022004809777,0,19,19
media freedom -> social security,L82 -> H55,Industrial organization,Public economics,Cross-field boundary,0.41318566767179066,0.21433651987255337,0,14,14
competition -> higher dependency ratio,L13 -> J19,Industrial organization,Labor and demographic economics,Cross-field boundary,0.41303412500936426,0.2108078494899196,0,18,18
transport costs -> retirement decisions,L91 -> J26,Industrial organization,Labor and demographic economics,Cross-field boundary,0.4127651180301138,0.21163542049986292,0,16,16
stricter roos -> home production,L42 -> D13,Industrial organization,Microeconomics,Cross-field boundary,0.4127622765196202,0.21028157838343703,0,18,18
increased immigration -> vertical integration,K37 -> L22,Law and economics,Industrial organization,Cross-field boundary,0.4127552257571243,0.20915374319460453,0,20,20
fiscal policy -> industry characteristics,E62 -> L89,Macroeconomics and monetary economics,Industrial organization,Cross-field boundary,0.412741608536687,0.21347269153138138,0,14,14
privatization -> location choices,L33 -> R32,Industrial organization,"Urban, rural, and regional economics",Cross-field boundary,0.41273954920084527,0.2122944252478417,0,15,15
