opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
trade liberalization -> ceo compensation,F13 -> M12,International economics,Business administration and business economics,Cross-field boundary,0.43744167663785993,0.23830404199986463,0,42,42
ai -> managerial decisions,C45 -> M51,Mathematical and quantitative methods,Business administration and business economics,Cross-field boundary,0.43098507063220487,0.2335332541128948,0,28,28
fixed exchange rate regime -> entrepreneurship,F33 -> M13,International economics,Business administration and business economics,Cross-field boundary,0.4288284526232305,0.2272513717131114,0,36,36
monetary policy -> ceo compensation,E52 -> M12,Macroeconomics and monetary economics,Business administration and business economics,Cross-field boundary,0.4285673896083716,0.2285340556067148,0,31,31
central bank independence -> ceo compensation,E58 -> M12,Macroeconomics and monetary economics,Business administration and business economics,Cross-field boundary,0.4267005717436571,0.225608100919008,0,31,31
trade liberalization -> training,F13 -> M53,International economics,Business administration and business economics,Cross-field boundary,0.42537967616645483,0.22821104544399778,0,21,21
advertising -> financial instability,M37 -> F65,Business administration and business economics,International economics,Cross-field boundary,0.4243375343133709,0.2241143808433046,0,26,26
foreign aid -> managerial decisions,F35 -> M51,International economics,Business administration and business economics,Cross-field boundary,0.42126004939486633,0.2169857178992519,0,31,31
network structure -> ceo compensation,D85 -> M12,Microeconomics,Business administration and business economics,Cross-field boundary,0.42095136425778557,0.22017587363156854,0,23,23
banks -> training,G21 -> M53,Financial economics,Business administration and business economics,Cross-field boundary,0.42090531979239487,0.21909060419574464,0,25,25
training -> health outcomes,M53 -> I14,Business administration and business economics,"Health, education, and welfare",Cross-field boundary,0.4208250095360973,0.2213945957717711,0,21,21
ceo compensation -> monetary policy,M12 -> E52,Business administration and business economics,Macroeconomics and monetary economics,Cross-field boundary,0.4201573399415696,0.22280685108885886,0,17,17
globalization -> entrepreneurship,F60 -> M13,International economics,Business administration and business economics,Cross-field boundary,0.4199990851553023,0.21635015414339395,0,28,28
training -> precautionary savings,M53 -> D14,Business administration and business economics,Microeconomics,Cross-field boundary,0.41922628137502754,0.2186614974899172,0,21,21
training -> distance to jobs,M53 -> R23,Business administration and business economics,"Urban, rural, and regional economics",Cross-field boundary,0.4188595614173446,0.22093692307602097,0,17,17
entrepreneurship -> personalized medicine,M13 -> I11,Business administration and business economics,"Health, education, and welfare",Cross-field boundary,0.41877209338746463,0.21782313887520163,0,21,21
