opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
historical context -> firm productivity,N93 -> D22,Economic history,Microeconomics,Cross-field boundary,0.41910551864759604,0.21384137858144586,0,31,31
historical shocks -> firm productivity,N13 -> D22,Economic history,Microeconomics,Cross-field boundary,0.4159673288597962,0.21408060212439098,0,20,20
auction outcomes -> historical shocks,D44 -> N13,Microeconomics,Economic history,Cross-field boundary,0.41519193164129375,0.21135194805658963,0,23,23
firm productivity -> historical shocks,D22 -> N13,Microeconomics,Economic history,Cross-field boundary,0.4114406902433954,0.21240562715179137,0,13,13
world war i -> deadweight loss,N44 -> H21,Economic history,Public economics,Cross-field boundary,0.4106326727212186,0.20832945052828844,0,16,16
social security -> panic of 1837,H55 -> N11,Public economics,Economic history,Cross-field boundary,0.4104166882959104,0.20735749746203366,0,17,17
great depression -> distortions,N22 -> H31,Economic history,Public economics,Cross-field boundary,0.4091841684201206,0.20550459821543413,0,17,17
differences in credit markets between the us and europe -> macroeconomic stability,N23 -> E60,Economic history,Macroeconomics and monetary economics,Cross-field boundary,0.40892423475539763,0.20720610157851374,0,14,14
world war i -> moral hazard,N44 -> G52,Economic history,Financial economics,Cross-field boundary,0.40829311560913,0.20791708859697808,0,12,12
historical shocks -> altruism,N13 -> D64,Economic history,Microeconomics,Cross-field boundary,0.4078985036138961,0.20731268031739233,0,12,12
electoral outcomes -> economic expansion,K16 -> N12,Law and economics,Economic history,Cross-field boundary,0.407809693039552,0.207142695182028,0,12,12
world war i -> mergers,N44 -> G34,Economic history,Financial economics,Cross-field boundary,0.4075471331837429,0.20590294600731626,0,13,13
free riding -> historical shocks,H40 -> N13,Public economics,Economic history,Cross-field boundary,0.40751775200778606,0.2050720416660735,0,14,14
full history rating system -> welfare,N20 -> I38,Economic history,"Health, education, and welfare",Cross-field boundary,0.4074860739926276,0.20861462117192442,0,10,10
technology -> historical shocks,L63 -> N13,Industrial organization,Economic history,Cross-field boundary,0.4072857716626332,0.20748923182289816,0,11,11
dsge models -> economic stagnation,E13 -> N14,Macroeconomics and monetary economics,Economic history,Cross-field boundary,0.40704617193453163,0.2051537066737365,0,13,13
preindustrial characteristics of ancestors -> democratization,N53 -> D72,Economic history,Microeconomics,Cross-field boundary,0.4067614319934686,0.20753455387727507,0,10,10
full history rating system -> economic output,N20 -> E23,Economic history,Macroeconomics and monetary economics,Cross-field boundary,0.40671248607190225,0.20638932871600377,0,11,11
political changes -> economic disparities,N40 -> F63,Economic history,International economics,Cross-field boundary,0.4066026744941295,0.20447052364223076,0,13,13
economic stagnation -> ethnic diversity,N14 -> J15,Economic history,Labor and demographic economics,Cross-field boundary,0.40657439398404294,0.20527846910113556,0,12,12
great depression -> bureaucracy,N22 -> D73,Economic history,Microeconomics,Cross-field boundary,0.4064024527020202,0.2050104695184299,0,12,12
