opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
property rights -> demand shocks,P14 -> E39,Economic systems,Macroeconomics and monetary economics,Cross-field boundary,0.4364733226081382,0.23804664481319054,0,39,39
political risk -> carbon pricing,P26 -> Q58,Economic systems,"Agriculture, natural resources, and environment",Cross-field boundary,0.414689899889971,0.21344338027265403,0,18,18
property rights -> economic indicators,P14 -> E01,Economic systems,Macroeconomics and monetary economics,Cross-field boundary,0.4142313638444506,0.21200988546744165,0,19,19
limited liability -> political economy factors,K13 -> P19,Law and economics,Economic systems,Cross-field boundary,0.4134496720599538,0.2107722775223935,0,19,19
optimal contracts -> gdp per capita,D86 -> P24,Microeconomics,Economic systems,Cross-field boundary,0.41266495367214673,0.21082573431273136,0,17,17
demand shocks -> property rights,E39 -> P14,Macroeconomics and monetary economics,Economic systems,Cross-field boundary,0.4121824468049174,0.21072496254210424,0,16,16
capital controls -> gdp per capita,F38 -> P24,International economics,Economic systems,Cross-field boundary,0.40968840325345957,0.20922644104368382,0,13,13
limited liability -> political stability,K13 -> P16,Law and economics,Economic systems,Cross-field boundary,0.4095345964153314,0.2074200649395321,0,15,15
legal aid -> economic outcomes,K36 -> P47,Law and economics,Economic systems,Cross-field boundary,0.4091557478694599,0.20682604892029732,0,15,15
political risk -> personalized medicine,P26 -> I11,Economic systems,"Health, education, and welfare",Cross-field boundary,0.40848715178435047,0.20655148497976283,0,14,14
emu -> cutthroat capitalism,F36 -> P12,International economics,Economic systems,Cross-field boundary,0.40846578675631107,0.20648762082982658,0,14,14
increased unemployment -> gdp per capita,J65 -> P24,Labor and demographic economics,Economic systems,Cross-field boundary,0.4084586290520366,0.20726813083609685,0,13,13
political risk -> labor force participation,P26 -> J21,Economic systems,Labor and demographic economics,Cross-field boundary,0.40816179364332544,0.20603224986056456,0,14,14
political stability -> personalized medicine,P16 -> I11,Economic systems,"Health, education, and welfare",Cross-field boundary,0.4079589951515116,0.20655434745817208,0,13,13
political factors -> gender,P23 -> J16,Economic systems,Labor and demographic economics,Cross-field boundary,0.40788266095420944,0.20822101735446083,0,11,11
citation counts -> lower prices,A14 -> P22,General economics and teaching,Economic systems,Cross-field boundary,0.40752713569560356,0.2086208446167269,0,10,10
property rights -> substitutes,P14 -> Q42,Economic systems,"Agriculture, natural resources, and environment",Cross-field boundary,0.4072837743980139,0.2072445864664611,0,11,11
network structure -> gdp per capita,D85 -> P24,Microeconomics,Economic systems,Cross-field boundary,0.4071518779953445,0.2053130687045509,0,13,13
globalization -> gdp per capita,F60 -> P24,International economics,Economic systems,Cross-field boundary,0.4070834734413474,0.2060191267118836,0,12,12
economic indicators -> property rights,E01 -> P14,Macroeconomics and monetary economics,Economic systems,Cross-field boundary,0.4070389638185323,0.20596183617078337,0,12,12
advertising -> economic performance,M37 -> P17,Business administration and business economics,Economic systems,Cross-field boundary,0.40667426728315925,0.20541225397214966,0,12,12
legal aid -> lower prices,K36 -> P22,Law and economics,Economic systems,Cross-field boundary,0.406520918634384,0.20517486528137455,0,12,12
labor market institutions -> lower prices,J08 -> P22,Labor and demographic economics,Economic systems,Cross-field boundary,0.40646039504471587,0.20599869124301234,0,11,11
training -> lower prices,M53 -> P22,Business administration and business economics,Economic systems,Cross-field boundary,0.4064543294713317,0.20598174682124065,0,11,11
dynamic price index (dpi) -> weak enforcement institutions,C43 -> P37,Mathematical and quantitative methods,Economic systems,Cross-field boundary,0.40638873009562704,0.2049755120134847,0,12,12
corporate socialism -> educational attainment,P31 -> I21,Economic systems,"Health, education, and welfare",Cross-field boundary,0.40632214565328834,0.204882214963807,0,12,12
vertical integration -> gdp per capita,L22 -> P24,Industrial organization,Economic systems,Cross-field boundary,0.40621997221960354,0.20563994969783184,0,11,11
public education -> weak enforcement institutions,H52 -> P37,Public economics,Economic systems,Cross-field boundary,0.40616251600575876,0.20559733258278676,0,11,11
corporate income tax -> property rights,K34 -> P14,Law and economics,Economic systems,Cross-field boundary,0.4061364602585017,0.20554525619082858,0,11,11
three-account system -> higher wages,P00 -> J31,Economic systems,Labor and demographic economics,Cross-field boundary,0.40604827592357884,0.20761440143725407,0,9,9
pbm services -> economic performance,L84 -> P17,Industrial organization,Economic systems,Cross-field boundary,0.40591181601105353,0.20523721657310465,0,11,11
personalized medicine -> political risk,I11 -> P26,"Health, education, and welfare",Economic systems,Cross-field boundary,0.40584100294873443,0.20416520398264332,0,12,12
