opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
credit constraints -> carbon pricing,E51 -> Q58,Macroeconomics and monetary economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.4328578620000964,0.2336530179138171,0,35,35
emu -> climate change,F36 -> Q54,International economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.43109087557122694,0.23069886710303755,0,36,36
social security -> pollution,H55 -> Q53,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.429970869942088,0.2295045882411765,0,35,35
financial integration -> pollution,F30 -> Q53,International economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.42342475042384237,0.2226314996987943,0,26,26
globalization -> pollution,F60 -> Q53,International economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.42007305349717394,0.21839431168292625,0,24,24
network structure -> pollution,D85 -> Q53,Microeconomics,"Agriculture, natural resources, and environment",Cross-field boundary,0.41934152240047023,0.21496904286595,0,29,29
carbon pricing -> financial crises,Q58 -> G01,"Agriculture, natural resources, and environment",Financial economics,Cross-field boundary,0.41921289288837105,0.21750004422418082,0,23,23
exchange rates -> predation,F31 -> Q57,International economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.4188399675672756,0.21578304264569914,0,25,25
carbon pricing -> credit constraints,Q58 -> E51,"Agriculture, natural resources, and environment",Macroeconomics and monetary economics,Cross-field boundary,0.4184286832517563,0.21679468683114342,0,22,22
climate change -> monopoly power,Q54 -> L12,"Agriculture, natural resources, and environment",Industrial organization,Cross-field boundary,0.4177439989779551,0.21519033103028995,0,23,23
supply shocks -> financial crises,Q43 -> G01,"Agriculture, natural resources, and environment",Financial economics,Cross-field boundary,0.4175433532022381,0.2193086969779524,0,16,16
minimum wage -> pollution,J38 -> Q53,Labor and demographic economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.41719139833655894,0.21549964215885262,0,21,21
increased immigration -> monitoring costs,K37 -> Q52,Law and economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.41663561848043557,0.21520169458373065,0,20,20
carbon pricing -> unions,Q58 -> J51,"Agriculture, natural resources, and environment",Labor and demographic economics,Cross-field boundary,0.4162667188430959,0.2135322607601657,0,22,22
subsidies -> predation,H20 -> Q57,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.4151999599470184,0.21032557702676483,0,25,25
hegemony -> monitoring costs,F54 -> Q52,International economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.415068045718584,0.21057793986575768,0,24,24
political risk -> carbon pricing,P26 -> Q58,Economic systems,"Agriculture, natural resources, and environment",Cross-field boundary,0.414689899889971,0.21344338027265403,0,18,18
asymmetric information -> agricultural productivity,D82 -> Q11,Microeconomics,"Agriculture, natural resources, and environment",Cross-field boundary,0.4144867277575629,0.21361495505200426,0,17,17
pollution -> social security,Q53 -> H55,"Agriculture, natural resources, and environment",Public economics,Cross-field boundary,0.4139295538969755,0.21355701324388138,0,16,16
financial crises -> carbon pricing,G01 -> Q58,Financial economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.4139084113757057,0.2103027438960029,0,21,21
financial constraints -> climate change,H60 -> Q54,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.41383374621028624,0.21075575591086773,0,20,20
supply shocks -> economic indicators,Q31 -> E01,"Agriculture, natural resources, and environment",Macroeconomics and monetary economics,Cross-field boundary,0.4135549053843841,0.21088008190690213,0,19,19
r&d investment -> pollution,O32 -> Q53,"Economic development, innovation, and growth","Agriculture, natural resources, and environment",Cross-field boundary,0.4132262227887784,0.2158001664110142,0,12,12
borrowing costs -> pollution,H74 -> Q53,Public economics,"Agriculture, natural resources, and environment",Cross-field boundary,0.41285046215351384,0.20985239676628564,0,19,19
climate change -> emu,Q54 -> F36,"Agriculture, natural resources, and environment",International economics,Cross-field boundary,0.4127979040017725,0.20976291601462424,0,19,19
carbon pricing -> entrepreneurship,Q58 -> M13,"Agriculture, natural resources, and environment",Business administration and business economics,Cross-field boundary,0.41278271691365226,0.21089814725484404,0,17,17
