opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
public debt -> location choices,H63 -> R32,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4261307352504854,0.22369943593386418,0,34,34
offshoring -> distance to jobs,L24 -> R23,Industrial organization,"Urban, rural, and regional economics",Cross-field boundary,0.42308594208512795,0.22243242891241555,0,25,25
public education -> city size,H52 -> R12,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.42001421858410204,0.21885911167751226,0,23,23
unions -> housing prices,J51 -> R31,Labor and demographic economics,"Urban, rural, and regional economics",Cross-field boundary,0.4194275980747913,0.21673736461040657,0,25,25
training -> distance to jobs,M53 -> R23,Business administration and business economics,"Urban, rural, and regional economics",Cross-field boundary,0.4188595614173446,0.22093692307602097,0,17,17
government interventions -> higher domestic demand,H81 -> R22,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4185436075667796,0.21459670043228768,0,27,27
location choices -> public debt,R32 -> H63,"Urban, rural, and regional economics",Public economics,Cross-field boundary,0.4169924779355963,0.2173776694635249,0,18,18
public debt -> firm location decisions,H63 -> R30,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4158673987909094,0.2122268587034656,0,23,23
distance to jobs -> high volatility,R23 -> C58,"Urban, rural, and regional economics",Mathematical and quantitative methods,Cross-field boundary,0.41490140908349976,0.2157352436749471,0,15,15
distance to jobs -> training,R23 -> M53,"Urban, rural, and regional economics",Business administration and business economics,Cross-field boundary,0.4148266023843622,0.21554874876702926,0,15,15
financial stability -> firm location decisions,G28 -> R30,Financial economics,"Urban, rural, and regional economics",Cross-field boundary,0.41475324277503917,0.21211162639721381,0,20,20
health insurance -> agglomeration,I13 -> R11,"Health, education, and welfare","Urban, rural, and regional economics",Cross-field boundary,0.41403497738928724,0.2110966417328746,0,20,20
public drug insurance -> housing prices,H51 -> R31,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4131762847969969,0.21094833763116413,0,18,18
housing prices -> unions,R31 -> J51,"Urban, rural, and regional economics",Labor and demographic economics,Cross-field boundary,0.41291313266690255,0.21115782938461009,0,17,17
privatization -> location choices,L33 -> R32,Industrial organization,"Urban, rural, and regional economics",Cross-field boundary,0.41273954920084527,0.2122944252478417,0,15,15
gender -> location choices,J16 -> R32,Labor and demographic economics,"Urban, rural, and regional economics",Cross-field boundary,0.4127351856645388,0.21096795999552675,0,17,17
monetary policy -> restrictive roo,E52 -> R33,Macroeconomics and monetary economics,"Urban, rural, and regional economics",Cross-field boundary,0.41261759099623474,0.2128348436832915,0,14,14
public debt -> commuting costs,H63 -> R48,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4122147375530881,0.2094233275138191,0,18,18
emu -> firm location decisions,F36 -> R30,International economics,"Urban, rural, and regional economics",Cross-field boundary,0.4120909620720365,0.21210024765711646,0,14,14
technology -> housing prices,L63 -> R31,Industrial organization,"Urban, rural, and regional economics",Cross-field boundary,0.4119261695985073,0.21124208772513228,0,15,15
city size -> public education,R12 -> H52,"Urban, rural, and regional economics",Public economics,Cross-field boundary,0.41186630506511485,0.21265415247998662,0,13,13
lower tobin's q -> banks,R42 -> G21,"Urban, rural, and regional economics",Financial economics,Cross-field boundary,0.4117190818749716,0.21074478631513013,0,15,15
oil prices -> housing prices,L71 -> R31,Industrial organization,"Urban, rural, and regional economics",Cross-field boundary,0.41143010742885083,0.2095350176973617,0,16,16
housing prices -> job satisfaction,R31 -> J28,"Urban, rural, and regional economics",Labor and demographic economics,Cross-field boundary,0.4113719999398443,0.20884187456491315,0,17,17
limited liability -> higher domestic demand,K13 -> R22,Law and economics,"Urban, rural, and regional economics",Cross-field boundary,0.4112957042582243,0.20745257164894643,0,19,19
r&d subsidies -> housing prices,O38 -> R31,"Economic development, innovation, and growth","Urban, rural, and regional economics",Cross-field boundary,0.4112465336077967,0.21111487439481394,0,14,14
health improvements -> firm location decisions,I12 -> R30,"Health, education, and welfare","Urban, rural, and regional economics",Cross-field boundary,0.4112410439955073,0.20801154987351256,0,18,18
categorization -> agglomeration,Y90 -> R11,Miscellaneous,"Urban, rural, and regional economics",Cross-field boundary,0.41092185119036356,0.20952593375652237,0,15,15
price volatility -> firm location decisions,G13 -> R30,Financial economics,"Urban, rural, and regional economics",Cross-field boundary,0.4105248958266462,0.20894064604213408,0,15,15
commuting costs -> public debt,R48 -> H63,"Urban, rural, and regional economics",Public economics,Cross-field boundary,0.41005001792133905,0.20896861755168641,0,14,14
coordination -> firm location decisions,E61 -> R30,Macroeconomics and monetary economics,"Urban, rural, and regional economics",Cross-field boundary,0.4100101254757507,0.20885759264293527,0,14,14
commuting costs -> unions,R48 -> J51,"Urban, rural, and regional economics",Labor and demographic economics,Cross-field boundary,0.409597041864196,0.20743410446241553,0,15,15
budget rules -> distance to jobs,H61 -> R23,Public economics,"Urban, rural, and regional economics",Cross-field boundary,0.4094194239739193,0.20584907576449313,0,17,17
blockchain technology -> firm location decisions,E42 -> R30,Macroeconomics and monetary economics,"Urban, rural, and regional economics",Cross-field boundary,0.4093920611377065,0.20872752985761134,0,13,13
consumption -> firm location decisions,E21 -> R30,Macroeconomics and monetary economics,"Urban, rural, and regional economics",Cross-field boundary,0.4091325104950102,0.20676871931991195,0,15,15
location choices -> gender,R32 -> J16,"Urban, rural, and regional economics",Labor and demographic economics,Cross-field boundary,0.40890075505940676,0.21102545278936471,0,10,10
high volatility -> distance to jobs,C58 -> R23,Mathematical and quantitative methods,"Urban, rural, and regional economics",Cross-field boundary,0.4086328506375891,0.20755222979026494,0,13,13
housing prices -> public drug insurance,R31 -> H51,"Urban, rural, and regional economics",Public economics,Cross-field boundary,0.4085864093198195,0.2116419913131307,0,9,9
distance to jobs -> budget rules,R23 -> H61,"Urban, rural, and regional economics",Public economics,Cross-field boundary,0.40857596455110234,0.20837478766777184,0,12,12
institutional changes -> housing prices,O43 -> R31,"Economic development, innovation, and growth","Urban, rural, and regional economics",Cross-field boundary,0.4084909028869415,0.20949971768215694,0,11,11
central bank independence -> restrictive roo,E58 -> R33,Macroeconomics and monetary economics,"Urban, rural, and regional economics",Cross-field boundary,0.40825568300382786,0.2078160741000751,0,12,12
agglomeration -> health insurance,R11 -> I13,"Urban, rural, and regional economics","Health, education, and welfare",Cross-field boundary,0.40819748909323206,0.20877786845839666,0,11,11
limited liability -> segregation,K13 -> R28,Law and economics,"Urban, rural, and regional economics",Cross-field boundary,0.40811514026366974,0.20853263099575614,0,11,11
