opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
trade -> truthful reporting,F19 -> Y30,International economics,Miscellaneous,Cross-field boundary,0.4210163748028032,0.21674710174951267,0,31,31
trade liberalization -> truthful reporting,F13 -> Y30,International economics,Miscellaneous,Cross-field boundary,0.4168177759541641,0.21326024734864651,0,24,24
redistribution -> truthful reporting,D39 -> Y30,Microeconomics,Miscellaneous,Cross-field boundary,0.41532561824903735,0.21148831183243813,0,23,23
training -> output,M53 -> Y10,Business administration and business economics,Miscellaneous,Cross-field boundary,0.41484181081645566,0.21441479532489563,0,17,17
categorization -> agglomeration,Y90 -> R11,Miscellaneous,"Urban, rural, and regional economics",Cross-field boundary,0.41092185119036356,0.20952593375652237,0,15,15
property tax -> need for further research,H71 -> Y50,Public economics,Miscellaneous,Cross-field boundary,0.4088991907464821,0.20639945403744483,0,15,15
truthful reporting -> redistribution,Y30 -> D39,Miscellaneous,Microeconomics,Cross-field boundary,0.4079771362598764,0.2074476611671262,0,12,12
immigration -> truthful reporting,F22 -> Y30,International economics,Miscellaneous,Cross-field boundary,0.40526096009782386,0.20420872232892423,0,11,11
external factors -> truthful reporting,F29 -> Y30,International economics,Miscellaneous,Cross-field boundary,0.4049951103071618,0.2038064439524705,0,11,11
agglomeration -> categorization,R11 -> Y90,"Urban, rural, and regional economics",Miscellaneous,Cross-field boundary,0.40458804079395605,0.20415302039563107,0,10,10
decline in agricultural employment -> need for further research,J43 -> Y50,Labor and demographic economics,Miscellaneous,Cross-field boundary,0.40445813338890807,0.20397695610494826,0,10,10
output -> training,Y10 -> M53,Miscellaneous,Business administration and business economics,Cross-field boundary,0.4044177770362138,0.20498532413037485,0,9,9
public discussion -> economic indicators,Y70 -> E01,Miscellaneous,Macroeconomics and monetary economics,Cross-field boundary,0.4036743137920782,0.20281823666180152,0,10,10
higher wages -> narratives,J31 -> Y92,Labor and demographic economics,Miscellaneous,Cross-field boundary,0.4033193594010982,0.20453820448005747,0,8,8
truthful reporting -> trade,Y30 -> F19,Miscellaneous,International economics,Cross-field boundary,0.40328742705561077,0.20586541935705985,0,7,7
globalization -> categorization,F60 -> Y90,International economics,Miscellaneous,Cross-field boundary,0.40318738281759703,0.20314441616909473,0,9,9
trade openness -> misleading conclusions,F43 -> Y40,International economics,Miscellaneous,Cross-field boundary,0.4031745540742245,0.20315575265328725,0,9,9
nonrivalry -> misleading conclusions,H41 -> Y40,Public economics,Miscellaneous,Cross-field boundary,0.40286071356430286,0.20266525695486926,0,9,9
public-private partnerships -> truthful reporting,H44 -> Y30,Public economics,Miscellaneous,Cross-field boundary,0.40265483969595933,0.2023630619524787,0,9,9
output -> a ban on child labor,Y10 -> J88,Miscellaneous,Labor and demographic economics,Cross-field boundary,0.40260696843052973,0.20344688143252038,0,8,8
banks -> narratives,G21 -> Y92,Financial economics,Miscellaneous,Cross-field boundary,0.40247220724612454,0.20457711723331376,0,7,7
monetary transfers -> misleading conclusions,F24 -> Y40,International economics,Miscellaneous,Cross-field boundary,0.4017242787033005,0.20344378259705156,0,7,7
output -> tax on agricultural goods,Y10 -> Q17,Miscellaneous,"Agriculture, natural resources, and environment",Cross-field boundary,0.4014722854140648,0.2030908325648804,0,7,7
tso behavior (withholding capacity) -> truthful reporting,L90 -> Y30,Industrial organization,Miscellaneous,Cross-field boundary,0.40146734267786677,0.20177285415432075,0,8,8
truthful reporting -> immigration,Y30 -> F22,Miscellaneous,International economics,Cross-field boundary,0.40138052241265604,0.20292926874387227,0,7,7
recursive preferences -> energy prices,Y80 -> Q41,Miscellaneous,"Agriculture, natural resources, and environment",Cross-field boundary,0.40113959491317847,0.20256984822912402,0,7,7
credit constraints -> narratives,E51 -> Y92,Macroeconomics and monetary economics,Miscellaneous,Cross-field boundary,0.4011380824087681,0.20257650409331912,0,7,7
experience -> do-calculus,Y60 -> C65,Miscellaneous,Mathematical and quantitative methods,Cross-field boundary,0.4010621177747669,0.20399352258534098,0,6,6
output -> employment protection in germany,Y10 -> J53,Miscellaneous,Labor and demographic economics,Cross-field boundary,0.401026813593413,0.20240530025532735,0,7,7
truthful reporting -> trade liberalization,Y30 -> F13,Miscellaneous,International economics,Cross-field boundary,0.40101472992665077,0.20569370095195738,0,5,5
financial fragility -> narratives,G51 -> Y92,Financial economics,Miscellaneous,Cross-field boundary,0.40094813202657276,0.20229221693571534,0,7,7
offshoring -> truthful reporting,L24 -> Y30,Industrial organization,Miscellaneous,Cross-field boundary,0.4008824737011481,0.2021968049180199,0,7,7
weak institutions -> narratives,O17 -> Y92,"Economic development, innovation, and growth",Miscellaneous,Cross-field boundary,0.40088193367770786,0.2021919567768613,0,7,7
categorization -> public education,Y90 -> H52,Miscellaneous,Public economics,Cross-field boundary,0.4008572078139917,0.20367882619458397,0,6,6
public investment -> truthful reporting,H54 -> Y30,Public economics,Miscellaneous,Cross-field boundary,0.4007798061945353,0.20204623332870159,0,7,7
public education -> categorization,H52 -> Y90,Public economics,Miscellaneous,Cross-field boundary,0.4006163669867,0.20334079854668255,0,6,6
labor market institutions -> need for further research,J08 -> Y50,Labor and demographic economics,Miscellaneous,Cross-field boundary,0.4003912152321336,0.2029533544053839,0,6,6
public discussion -> stigma,Y70 -> J70,Miscellaneous,Labor and demographic economics,Cross-field boundary,0.4002008725591764,0.20268112713332376,0,6,6
