opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
cultural factors -> exchange rates,Z10 -> F31,Other special topics,International economics,Cross-field boundary,0.4225592634372969,0.22063554440171437,0,27,27
tax policy -> conceptual artists,H29 -> Z11,Public economics,Other special topics,Cross-field boundary,0.42106011915746244,0.21844221601860084,0,27,27
cultural factors -> nash equilibrium,Z10 -> C72,Other special topics,Mathematical and quantitative methods,Cross-field boundary,0.4193522874151188,0.21818637734686072,0,22,22
cultural factors -> monetary policy,Z10 -> E52,Other special topics,Macroeconomics and monetary economics,Cross-field boundary,0.418559207676351,0.21599781836438292,0,24,24
exchange rates -> conceptual artists,F31 -> Z11,International economics,Other special topics,Cross-field boundary,0.41853843688849296,0.21446819591518831,0,27,27
cultural factors -> qe,Z10 -> C22,Other special topics,Mathematical and quantitative methods,Cross-field boundary,0.4172415031766351,0.2143929409773086,0,23,23
cultural factors -> covid-19 pandemic,Z10 -> H12,Other special topics,Public economics,Cross-field boundary,0.4169247429531926,0.21501145624653997,0,21,21
subsidies -> conceptual artists,H20 -> Z11,Public economics,Other special topics,Cross-field boundary,0.41675568124281004,0.21362898725096086,0,23,23
deadweight loss -> conceptual artists,H21 -> Z11,Public economics,Other special topics,Cross-field boundary,0.4161801040505665,0.21229891966710415,0,24,24
cultural factors -> financial distress,Z10 -> G33,Other special topics,Financial economics,Cross-field boundary,0.4161191499143055,0.2137563929435131,0,21,21
vertical integration -> conceptual artists,L22 -> Z11,Industrial organization,Other special topics,Cross-field boundary,0.41536350514644194,0.21318490686207014,0,20,20
conceptual artists -> exchange rates,Z11 -> F31,Other special topics,International economics,Cross-field boundary,0.4145571872158122,0.21259852899360604,0,19,19
conceptual artists -> deadweight loss,Z11 -> H21,Other special topics,Public economics,Cross-field boundary,0.41428320217026976,0.21393412421855806,0,16,16
cultural factors -> market efficiency,Z10 -> G14,Other special topics,Financial economics,Cross-field boundary,0.41419921274415694,0.21197618789734995,0,19,19
tax competition -> conceptual artists,H26 -> Z11,Public economics,Other special topics,Cross-field boundary,0.4135659301695985,0.21039834471415456,0,20,20
cultural factors -> financial stability,Z10 -> G28,Other special topics,Financial economics,Cross-field boundary,0.4135471095816722,0.21158780002211885,0,18,18
