opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
inflation -> human capital,E31 -> J24,Macroeconomics and monetary economics,Labor and demographic economics,Cross-field gap,0.6091234328587036,0.5990399201148966,27,225,225
exchange rates -> human capital,F31 -> J24,International economics,Labor and demographic economics,Cross-field gap,0.6017220979445034,0.5604891996041255,7,219,219
investment decisions -> monetary policy,G11 -> E52,Financial economics,Macroeconomics and monetary economics,Cross-field gap,0.5539077181452429,0.5485554919522055,100,171,171
imperfect information -> fiscal policy,D83 -> E62,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.5489772051478687,0.5115576381101211,37,186,186
exchange rates -> job creation,F31 -> J23,International economics,Labor and demographic economics,Cross-field gap,0.545333108665762,0.511589509521158,42,170,170
human capital -> exchange rates,J24 -> F31,Labor and demographic economics,International economics,Cross-field gap,0.5353099274819718,0.45406691148155087,7,205,205
central bank independence -> terms of trade,E58 -> F14,Macroeconomics and monetary economics,International economics,Cross-field gap,0.5322260343502565,0.48794035863672697,29,186,186
fiscal policy -> higher prices,E62 -> D49,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.5265244241081246,0.4696341505318193,36,186,186
firm value -> unemployment,G32 -> J64,Financial economics,Labor and demographic economics,Cross-field gap,0.5212468461011268,0.45008672846733977,19,191,191
economic growth -> financial fragility,O49 -> G51,"Economic development, innovation, and growth",Financial economics,Cross-field gap,0.493493373274838,0.4396700037722734,100,182,182
central bank independence -> consumption decisions,E58 -> D12,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.4812517408335516,0.4047768125563192,29,151,151
financial instability -> market power,F65 -> L11,International economics,Industrial organization,Cross-field gap,0.4782957172706165,0.4130684457173618,76,169,169
coordination -> equity premium,E61 -> G12,Macroeconomics and monetary economics,Financial economics,Cross-field gap,0.478081582898676,0.401362379510097,29,138,138
reputation -> distortions,L14 -> H31,Industrial organization,Public economics,Cross-field gap,0.46832004204280153,0.3835667131880918,76,208,208
institutional quality -> precautionary savings,L15 -> D14,Industrial organization,Microeconomics,Cross-field gap,0.4681121833980608,0.37285678337937994,44,203,203
credit constraints -> model,E51 -> C52,Macroeconomics and monetary economics,Mathematical and quantitative methods,Cross-field gap,0.4668591342308957,0.3795319807295332,51,184,184
capital flows -> higher prices,F32 -> D49,International economics,Microeconomics,Cross-field gap,0.46664599341175517,0.3861704954108844,74,187,187
public debt -> calibrated model,H63 -> C51,Public economics,Mathematical and quantitative methods,Cross-field gap,0.46618094262902016,0.37947993049807505,39,157,157
demographic changes -> exchange rates,J11 -> F31,Labor and demographic economics,International economics,Cross-field gap,0.4634395606280003,0.33294786139461574,6,182,182
interest rates -> trade liberalization,E43 -> F13,Macroeconomics and monetary economics,International economics,Cross-field gap,0.4620689960673892,0.36653743758274543,35,184,184
median voter preferences -> interest rates,D79 -> E43,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.4605950098606145,0.3782256894934147,67,165,165
consumer welfare -> capital accumulation,D69 -> E22,Microeconomics,Macroeconomics and monetary economics,Cross-field gap,0.46008813318387815,0.3932376058723322,251,215,215
borrowing constraints -> institutional quality,F34 -> L15,International economics,Industrial organization,Cross-field gap,0.45925049878418767,0.3586704289435969,37,187,187
mergers -> fertility,G34 -> J13,Financial economics,Labor and demographic economics,Cross-field boundary,0.4591285924046646,0.2689186151289111,0,57,57
fdi -> fertility,F23 -> J13,International economics,Labor and demographic economics,Cross-field boundary,0.4581913984250716,0.268300491790645,0,57,57
age -> terms of trade,J14 -> F14,Labor and demographic economics,International economics,Cross-field boundary,0.45450179336872193,0.26117926518931567,0,61,61
limited liability -> human capital,K13 -> J24,Law and economics,Labor and demographic economics,Cross-field boundary,0.45428200603048163,0.25883761122280363,0,64,64
higher wages -> public debt,J31 -> H63,Labor and demographic economics,Public economics,Cross-field gap,0.45409277572872986,0.34309412602452605,17,160,160
public debt -> personalized medicine,H63 -> I11,Public economics,"Health, education, and welfare",Cross-field boundary,0.453131089208723,0.2592459132733995,0,58,58
trade -> public debt,F19 -> H63,International economics,Public economics,Cross-field gap,0.45286740313665524,0.3474981421041723,23,161,161
patents -> unemployment,O34 -> J64,"Economic development, innovation, and growth",Labor and demographic economics,Cross-field boundary,0.45160645608704203,0.2583024374866058,0,52,52
trade -> economic recovery,F19 -> E65,International economics,Macroeconomics and monetary economics,Cross-field gap,0.45154671882127617,0.3660454759957291,83,194,194
public debt -> market power,H63 -> L11,Public economics,Industrial organization,Cross-field gap,0.4513674825884599,0.3440287480550159,25,163,163
central bank independence -> immigration,E58 -> F22,Macroeconomics and monetary economics,International economics,Cross-field boundary,0.44934469709525027,0.25539752875608474,0,52,52
emu -> life expectancy,F36 -> J17,International economics,Labor and demographic economics,Cross-field boundary,0.44801424853887517,0.2532867479690263,0,50,50
ethnic diversity -> public debt,J15 -> H63,Labor and demographic economics,Public economics,Cross-field boundary,0.44736920508307565,0.2511528699527238,0,56,56
fertility -> fdi,J13 -> F23,Labor and demographic economics,International economics,Cross-field boundary,0.4468119109581596,0.2487042734508959,0,62,62
fdi -> interest rates,F23 -> E43,International economics,Macroeconomics and monetary economics,Cross-field gap,0.44634698698203273,0.3434546897012278,44,178,178
human capital -> moral hazard,J24 -> G52,Labor and demographic economics,Financial economics,Cross-field gap,0.4461469080267677,0.34195605211161784,61,201,201
competition -> consumption,L13 -> E21,Industrial organization,Macroeconomics and monetary economics,Cross-field gap,0.445716372457194,0.32429690763974717,18,162,162
limited liability -> unemployment,K13 -> J64,Law and economics,Labor and demographic economics,Cross-field boundary,0.4450865866478685,0.24688789932156696,0,54,54
fiscal policy -> price discrimination,E62 -> D40,Macroeconomics and monetary economics,Microeconomics,Cross-field gap,0.4441955756866325,0.32136511404185175,17,163,163
ethnic diversity -> expected returns,J15 -> G17,Labor and demographic economics,Financial economics,Cross-field boundary,0.44362860173461044,0.24504448787548308,0,54,54
vertical integration -> fertility,L22 -> J13,Industrial organization,Labor and demographic economics,Cross-field boundary,0.4422684036824366,0.24672774150051624,0,42,42
public debt -> ethnic diversity,H63 -> J15,Public economics,Labor and demographic economics,Cross-field boundary,0.4413943014001126,0.24011233571480367,0,60,60
fixed exchange rate regime -> labor supply,F33 -> J22,International economics,Labor and demographic economics,Cross-field boundary,0.4412346796385813,0.24022108250779511,0,58,58
patents -> monetary policy,O34 -> E52,"Economic development, innovation, and growth",Macroeconomics and monetary economics,Cross-field boundary,0.4411900486851613,0.24599850948159668,0,39,39
trade liberalization -> less-confident households,F13 -> G59,International economics,Financial economics,Cross-field boundary,0.4411270061066243,0.2440351107744641,0,44,44
legal reform -> growth,K41 -> O40,Law and economics,"Economic development, innovation, and growth",Cross-field boundary,0.4404752383210124,0.24205341341811765,0,46,46
financial instability -> price level,F65 -> E30,International economics,Macroeconomics and monetary economics,Cross-field gap,0.4404621409751524,0.3537407949128466,48,109,109
hac rule -> interest rates,I18 -> E43,"Health, education, and welfare",Macroeconomics and monetary economics,Cross-field boundary,0.44000630097575577,0.24110071686913467,0,48,48
clustering -> economic stability,C38 -> E63,Mathematical and quantitative methods,Macroeconomics and monetary economics,Cross-field boundary,0.43916782479337085,0.24674569759273224,0,30,30
limited liability -> labor supply,K13 -> J22,Law and economics,Labor and demographic economics,Cross-field boundary,0.4388553675124152,0.24001997893714988,0,44,44
limited liability -> monetary policy,K13 -> E52,Law and economics,Macroeconomics and monetary economics,Cross-field boundary,0.4387930216232418,0.2419363545047799,0,38,38
unions -> financial fragility,J51 -> G51,Labor and demographic economics,Financial economics,Cross-field boundary,0.43869430954205435,0.2394602678722248,0,46,46
