opportunity,code_pair,source_field,target_field,novelty,priority,base_score,prior_contact,mediators,motifs
limited liability -> human capital,K13 -> J24,Law and economics,Labor and demographic economics,Cross-field boundary,0.45428200603048163,0.25883761122280363,0,64,64
mergers -> fertility,G34 -> J13,Financial economics,Labor and demographic economics,Cross-field boundary,0.4591285924046646,0.2689186151289111,0,57,57
public debt -> personalized medicine,H63 -> I11,Public economics,"Health, education, and welfare",Cross-field boundary,0.453131089208723,0.2592459132733995,0,58,58
fdi -> fertility,F23 -> J13,International economics,Labor and demographic economics,Cross-field boundary,0.4581913984250716,0.268300491790645,0,57,57
age -> terms of trade,J14 -> F14,Labor and demographic economics,International economics,Cross-field boundary,0.45450179336872193,0.26117926518931567,0,61,61
patents -> unemployment,O34 -> J64,"Economic development, innovation, and growth",Labor and demographic economics,Cross-field boundary,0.45160645608704203,0.2583024374866058,0,52,52
limited liability -> unemployment,K13 -> J64,Law and economics,Labor and demographic economics,Cross-field boundary,0.4450865866478685,0.24688789932156696,0,54,54
emu -> life expectancy,F36 -> J17,International economics,Labor and demographic economics,Cross-field boundary,0.44801424853887517,0.2532867479690263,0,50,50
fertility -> fdi,J13 -> F23,Labor and demographic economics,International economics,Cross-field boundary,0.4468119109581596,0.2487042734508959,0,62,62
ethnic diversity -> expected returns,J15 -> G17,Labor and demographic economics,Financial economics,Cross-field boundary,0.44362860173461044,0.24504448787548308,0,54,54
central bank independence -> immigration,E58 -> F22,Macroeconomics and monetary economics,International economics,Cross-field boundary,0.44934469709525027,0.25539752875608474,0,52,52
ethnic diversity -> public debt,J15 -> H63,Labor and demographic economics,Public economics,Cross-field boundary,0.44736920508307565,0.2511528699527238,0,56,56
fixed exchange rate regime -> labor supply,F33 -> J22,International economics,Labor and demographic economics,Cross-field boundary,0.4412346796385813,0.24022108250779511,0,58,58
public debt -> ethnic diversity,H63 -> J15,Public economics,Labor and demographic economics,Cross-field boundary,0.4413943014001126,0.24011233571480367,0,60,60
legal reform -> growth,K41 -> O40,Law and economics,"Economic development, innovation, and growth",Cross-field boundary,0.4404752383210124,0.24205341341811765,0,46,46
limited liability -> labor supply,K13 -> J22,Law and economics,Labor and demographic economics,Cross-field boundary,0.4388553675124152,0.24001997893714988,0,44,44
trade liberalization -> less-confident households,F13 -> G59,International economics,Financial economics,Cross-field boundary,0.4411270061066243,0.2440351107744641,0,44,44
trade liberalization -> ceo compensation,F13 -> M12,International economics,Business administration and business economics,Cross-field boundary,0.43744167663785993,0.23830404199986463,0,42,42
